city,lat,lon,pm25_2021_05_08,pm25_2021_05_09,pm25_2021_05_10,pm25_2021_05_11,pm25_2021_05_12,pm25_2021_05_13,pm25_2021_05_14,pm25_2021_05_15,pm25_2021_05_16,pm25_2021_05_17,pm25_2021_05_18,pm25_2021_05_19,pm25_2021_05_20,pm25_2021_05_21,pm25_2021_05_22,pm25_2021_05_23,pm25_2021_05_24,pm25_2021_05_25,pm25_2021_05_26,pm25_2021_05_27,pm25_2021_05_28,pm25_2021_05_29,pm25_2021_05_30,pm25_2021_05_31,pm25_2021_06_01,pm25_2021_06_02,pm25_2021_06_03,pm25_2021_06_04,pm25_2021_06_05,pm25_2021_06_06,pm25_2021_06_07
NewYork,40.6943,-73.9249,0.37958,7.22333,5.27542,5.5925,4.15458,5.44458,11.40708,19.4225,29.18958,17.96417,25.14625,13.81375,23.41708,20.90667,8.33292,13.65875,5.31625,2.12333,3.3775,14.00667,11.67708,3.645,2.07708,2.34875,6.01208,13.17042,11.67042,5.93042,5.61292,15.47042,22.03542,18.43
LosAngeles,34.1139,-118.4068,0.45208,23.02917,25.415,11.53917,17.49792,17.76,16.515,12.75417,6.2125,3.26583,6.02,15.54375,23.20917,9.15333,4.18417,6.91083,9.42375,9.72125,16.91708,21.40833,25.84,31.42542,13.78625,23.15167,20.23208,21.23667,19.27833,23.03583,19.57667,14.475,7.35667,5.44208
Chicago,41.8373,-87.6862,0.05208,1.25458,2.3125,2.26292,2.75417,3.0625,19.70875,14.7075,10.01417,15.85625,10.94333,11.07375,7.11542,5.88875,6.64167,11.975,6.78375,9.3025,5.71333,11.98542,2.77583,1.43083,1.5125,5.82083,10.40542,18.32208,14.53,23.71042,7.44667,9.31708,4.39333,6.32833
Miami,25.7839,-80.2102,0.29542,5.66083,6.14208,4.36125,5.49708,4.81333,6.38375,3.2,4.58542,3.74625,2.88833,2.75083,4.05083,4.40292,4.60292,3.84625,2.86708,2.545,3.27583,7.60625,9.03375,7.045,4.85333,3.31417,3.62125,1.30708,1.76417,2.73042,4.95417,5.66125,7.33542,7.07083
Dallas,32.7936,-96.7662,0.46,6.02667,4.91708,2.955,2.95917,5.30875,5.73625,6.42917,7.29792,5.99708,5.25667,2.99625,3.3,2.79958,1.76,3.49833,6.445,4.23792,1.9,3.38208,4.67625,5.96625,5.21167,5.00833,6.33333,6.32417,7.41333,4.68042,9.17333,4.99208,3.68833,4.43
Philadelphia,40.0077,-75.1339,0.24792,3.2825,4.67833,7.81958,4.17125,2.18917,4.74792,11.26208,11.64417,7.77167,12.16208,10.17208,14.09208,15.51875,10.01583,10.68875,5.80833,2.135,3.98292,14.37625,8.41625,3.04333,2.06833,1.43917,3.67958,11.87292,8.85458,3.55708,6.92042,13.90667,14.56208,8.77083
Houston,29.7863,-95.3889,0.35583,8.55333,9.12208,11.55917,11.38708,2.64042,7.89417,10.17417,7.55042,7.95708,8.30375,9.53167,4.07917,5.12708,4.27458,6.0275,5.98625,5.04167,6.06917,7.16458,9.31958,8.10292,4.76125,7.46458,8.1125,12.10792,19.47625,19.78333,4.01542,5.90458,4.78958,8.8925
Atlanta,33.7627,-84.4224,0.18583,6.48542,6.15458,4.02708,6.03375,4.89375,5.67833,13.18167,14.90958,11.38958,9.80125,4.44042,3.9625,3.08333,5.69917,11.74875,12.76583,15.48125,17.69917,10.36083,6.8825,4.0775,2.95458,3.97167,6.705,7.66958,7.18,3.89542,7.23583,11.75083,4.67458,1.73625
Washington,38.9047,-77.0163,0.28833,4.84083,4.55167,2.96792,4.69083,3.11083,4.32917,6.92583,7.64917,13.37042,13.2275,8.76458,9.48958,10.5175,8.44708,8.10125,8.45708,3.155,5.22292,14.29333,7.92458,10.52167,2.41958,1.36625,7.93417,10.50958,6.18458,2.6025,5.47958,9.74833,9.55917,3.96417
Boston,42.3188,-71.0846,0.14375,3.26375,3.50333,10.53042,1.87958,2.63333,14.16625,14.63042,10.41792,6.17542,13.61833,6.23583,5.9,7.10833,7.64083,14.70333,3.39458,2.04542,3.67667,14.55417,11.23833,1.23875,0.9625,1.05542,1.79458,8.34667,24.89708,7.01125,5.82875,10.80583,13.64667,19.65667
Phoenix,33.5722,-112.0891,0.28,5.53125,6.28208,5.18708,8.63292,9.07708,9.93708,14.18792,5.73375,6.2,6.98542,8.55375,9.24,6.24625,3.94917,6.63417,3.47208,4.73167,7.09042,9.09458,10.96042,8.55583,5.06792,6.70083,7.9975,4.765,4.4925,5.21833,5.8925,7.81125,7.26792,6.27542
Seattle,47.6211,-122.3244,0.12292,1.38667,2.58917,4.77875,5.80583,4.185,4.92625,6.31083,4.10083,9.59333,1.25667,1.02917,1.20208,2.54042,6.19625,15.05875,1.68708,1.25625,0.96125,1.82167,2.21083,4.46292,3.97542,10.88708,12.36667,12.99167,12.80958,4.55333,1.78708,2.105,2.19917,2.54458
SanFrancisco,37.7562,-122.4430,0.13917,2.78208,2.45208,6.115,7.2775,6.22125,3.51708,3.59292,4.58458,4.72083,2.04792,1.57208,1.83625,1.19917,2.24542,4.33333,3.03875,2.74708,2.11458,4.70667,2.28667,4.40458,5.06458,6.71292,6.38208,5.95583,2.12417,2.22375,2.96625,3.4675,4.24208,2.90417
Detroit,42.3834,-83.1024,0.12792,1.93958,4.74542,4.39708,1.86708,3.83458,11.54542,8.91042,9.40833,11.25583,17.99833,27.0625,18.295,24.8325,13.65542,9.32708,5.81917,7.88208,7.14917,3.755,3.13708,1.39083,1.17458,4.56917,7.97375,12.34042,15.27083,12.44958,10.90083,9.91458,7.43583,6.30542
SanDiego,32.8312,-117.1225,0.21208,4.44167,5.62417,5.97333,8.28083,7.71583,7.03458,5.07125,2.30292,2.06125,2.44042,2.96375,5.9575,3.50167,3.485,3.39583,5.76458,6.39958,10.11,5.64292,4.82208,5.49417,4.30708,5.04542,6.79458,7.74292,7.05292,5.80417,5.33083,3.4475,2.0325,3.70458
Minneapolis,44.9635,-93.2678,0.18917,3.41125,2.19292,1.28875,4.72208,6.84833,3.33917,4.55417,4.85167,4.69375,5.555,8.88833,2.69208,2.58792,2.52375,1.79833,5.00333,2.015,2.70333,0.88583,0.74625,3.22042,3.76292,2.87125,4.51792,8.41125,5.10583,3.53917,4.31875,5.34917,3.25208,2.59542
Tampa,27.9942,-82.4451,0.16625,3.66708,5.37292,5.10292,7.685,8.36917,5.54208,4.12792,4.315,3.895,5.30833,2.50875,2.21167,3.22125,4.98417,4.19625,2.83792,4.68958,6.22292,7.9075,10.70583,12.55708,7.09542,6.00208,5.06667,4.05833,1.95292,3.46875,2.82833,2.13708,4.82708,7.095
Denver,39.7621,-104.8759,0.20667,3.55375,0.92458,0.84625,2.04125,9.56417,6.38167,7.29667,3.12667,3.18625,2.82042,4.08917,8.07708,5.16167,3.96208,3.78667,2.80833,6.26625,5.90083,6.02417,5.87333,5.81083,3.18125,1.17417,1.82125,6.15167,4.80208,7.20958,8.16167,10.99875,3.85583,8.37292
Brooklyn,40.6501,-73.9496,0.37958,7.22333,5.27542,5.5925,4.15458,5.44458,11.40708,19.4225,29.18958,17.96417,25.14625,13.81375,23.41708,20.90667,8.33292,13.65875,5.31625,2.12333,3.3775,14.00667,11.67708,3.645,2.07708,2.34875,6.01208,13.17042,11.67042,5.93042,5.61292,15.47042,22.03542,18.43
Queens,40.7498,-73.7976,0.40583,10.91792,6.41458,5.11083,5.06208,4.37292,12.56458,19.8375,20.02542,20.76458,23.5625,16.80875,15.78417,19.14417,14.02583,15.37208,5.07167,1.85333,4.95042,15.87833,6.77208,2.19958,1.19083,1.1675,11.82417,23.04625,15.90292,7.58708,9.73292,18.09417,23.74042,16.02458
Riverside,33.9381,-117.3948,0.27583,15.185,14.60708,10.23917,31.97375,29.39167,24.07625,21.76667,6.43083,2.39333,9.59958,24.54333,18.98417,5.66708,5.34583,5.19667,13.85292,17.49167,15.99708,12.83875,15.57958,18.18625,12.14,18.46,19.52458,22.53333,24.31125,18.84708,14.22458,10.55667,6.27958,3.7825
Baltimore,39.3051,-76.6144,0.18125,3.60333,3.55333,2.48667,3.11333,1.66708,3.03833,5.95708,9.83083,12.5,15.12208,10.58667,12.45917,10.21042,9.75208,7.82292,6.44833,2.64125,4.62042,17.93667,6.98792,5.64292,1.915,1.19833,5.62583,11.37375,6.92917,3.3125,6.68,10.82875,13.30708,5.92083
LasVegas,36.2333,-115.2654,0.32625,5.59708,4.88167,4.41,3.69833,5.7725,9.76875,13.69875,12.3525,11.28958,4.09792,2.84333,11.69583,14.155,8.64292,3.11625,3.52667,2.74167,6.18708,5.65125,8.64875,9.84,10.36375,9.38958,6.99792,10.46542,15.60292,12.43458,14.99708,10.265,13.45625,9.64
Portland,45.5372,-122.6500,0.07958,2.8375,1.86542,3.53792,4.69,5.28417,3.92458,4.17458,5.07208,4.16667,1.73875,1.14583,2.26292,2.1725,3.78583,2.51958,1.4075,1.72708,1.68125,8.1375,3.74958,3.17208,3.85667,8.20667,10.36917,10.21375,9.55833,1.1325,1.69542,2.36292,3.21917,1.98833
SanAntonio,29.4658,-98.5253,0.40958,6.47083,9.41542,7.64458,4.89292,1.53375,5.49292,7.32917,5.49708,2.86708,5.33833,5.94333,4.18667,7.55542,6.87833,2.83458,2.19667,3.5975,4.95375,6.89542,6.25292,5.27958,4.27083,2.855,7.08833,5.5725,5.80375,4.50917,6.5575,5.61917,4.25583,5.36792
St.Louis,38.6358,-90.2451,0.24,2.91958,3.83292,7.97792,9.37958,1.85875,3.17542,8.25083,7.75417,7.86917,9.00958,6.49833,4.38625,3.31292,4.70042,7.11292,10.04875,7.45125,4.5525,4.10875,4.16583,2.40125,2.7775,5.735,10.39792,13.58333,11.91667,13.51625,13.55125,6.945,5.23167,2.30417
Sacramento,38.5667,-121.4683,0.1875,1.24667,1.395,2.10833,4.27917,6.88417,6.17875,6.78333,4.86292,6.41167,4.76708,2.83792,2.475,3.30958,1.38833,2.97042,4.3425,4.3225,1.78667,5.03833,4.2775,6.06625,7.08833,8.58042,10.00542,7.88125,6.28,6.5675,5.10125,5.72792,6.09125,1.99
