dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,213.62,0.0,8.31,62.94,1.61,5.1,5.97,0.29
1606269600,1,216.96,0.0,9.0,65.8,1.61,5.41,6.31,0.34
1606273200,1,216.96,0.0,10.03,65.09,1.68,4.75,5.48,0.36
1606276800,1,220.3,0.0,10.28,63.66,1.8,3.37,3.87,0.38
1606280400,1,223.64,0.0,9.6,61.51,1.64,2.93,3.39,0.51
1606284000,1,206.95,0.0,4.46,65.09,0.59,3.66,5.44,0.68
1606287600,2,201.94,0.0,1.48,85.83,0.43,3.59,6.54,0.76
1606291200,2,213.62,0.0,1.39,80.82,0.47,1.71,2.64,0.74
1606294800,1,223.64,0.0,1.37,69.38,0.28,0.61,0.79,0.61
1606298400,1,216.96,0.0,1.11,74.39,0.21,0.5,0.59,0.52
1606302000,2,211.95,0.0,1.01,82.25,0.2,0.5,0.6,0.5
1606305600,2,210.29,0.0,1.19,83.69,0.21,0.5,0.63,0.51
1606309200,2,213.62,0.0,1.97,82.25,0.21,0.5,0.73,0.56
1606312800,2,216.96,0.06,3.04,80.11,0.23,0.5,0.82,0.63
1606316400,1,220.3,0.36,2.91,79.39,0.24,0.5,0.85,0.69
1606320000,2,216.96,0.5,2.19,80.11,0.26,0.5,0.85,0.73
1606323600,2,213.62,0.46,1.67,82.25,0.28,0.58,0.95,0.75
1606327200,2,210.29,0.35,1.27,85.83,0.31,0.78,1.15,0.76
1606330800,2,206.95,0.29,1.13,90.12,0.32,0.97,1.35,0.75
1606334400,2,205.28,0.29,1.21,91.55,0.33,1.16,1.58,0.76
1606338000,2,205.28,0.29,1.41,92.98,0.32,1.33,1.81,0.78
1606341600,1,230.31,1.12,6.17,77.25,0.28,1.8,2.63,1.08
1606345200,1,287.06,1.63,16.79,52.21,0.24,2.53,3.88,1.55
1606348800,1,347.14,0.22,30.85,28.97,0.23,3.4,5.2,1.98
1606352400,2,407.22,0.27,40.1,16.63,0.24,4.61,6.97,2.31
1606356000,2,467.3,0.66,46.61,9.48,0.29,6.53,9.46,2.6
1606359600,2,534.06,1.48,53.47,3.93,0.51,9.08,12.81,2.82
1606363200,2,594.14,5.7,63.75,0.6,0.87,11.71,17.0,2.57
1606366800,2,614.17,10.06,63.75,0.12,1.03,13.17,18.97,2.09
1606370400,2,554.09,4.86,57.58,1.5,1.12,12.08,17.01,1.69
1606374000,2,447.27,0.06,42.16,17.88,1.3,10.99,14.91,1.25
1606377600,1,363.83,0.0,25.36,32.54,0.94,8.7,11.84,1.06
1606381200,1,310.42,0.0,15.42,40.05,0.67,7.22,9.64,0.9
1606384800,1,287.06,0.0,10.54,42.92,0.51,7.04,8.95,0.72
1606388400,1,277.04,0.0,8.57,43.63,0.46,7.23,8.87,0.62
1606392000,1,273.71,0.0,7.88,45.78,0.49,7.48,8.99,0.58
1606395600,1,273.71,0.0,8.23,50.07,1.18,7.77,9.29,0.68
1606399200,1,283.72,0.1,10.71,50.78,3.28,8.41,10.12,0.88
1606402800,1,287.06,1.17,10.54,54.36,5.07,9.34,11.35,0.95
1606406400,1,277.04,1.76,7.97,64.37,4.05,8.4,10.5,1.06
1606410000,1,267.03,1.68,6.68,72.24,2.47,7.55,9.47,1.14
1606413600,2,253.68,1.31,5.74,83.69,2.59,7.75,9.33,1.01
1606417200,2,233.65,1.01,5.27,100.14,4.59,6.69,7.96,0.66
1606420800,2,226.97,0.89,5.23,107.29,4.89,6.59,8.21,0.54
1606424400,2,223.64,0.74,5.18,108.72,4.35,6.49,8.65,0.5
1606428000,2,230.31,0.71,7.03,100.14,3.64,6.15,8.68,0.59
1606431600,2,247.0,0.39,12.17,83.69,3.13,5.98,8.73,0.78
1606435200,1,260.35,0.0,15.77,70.1,2.5,6.0,9.06,0.9
1606438800,1,257.02,0.0,13.71,65.09,1.83,6.27,9.52,0.8
1606442400,1,257.02,0.0,11.65,62.23,1.55,6.94,10.49,0.67
1606446000,1,260.35,0.0,11.48,58.65,1.59,7.76,11.6,0.53
1606449600,1,260.35,0.0,11.82,52.93,1.68,8.29,12.24,0.43
1606453200,1,257.02,0.0,11.31,47.92,1.67,8.33,11.88,0.35
1606456800,1,247.0,0.0,9.77,44.35,1.54,7.89,10.78,0.28
1606460400,1,236.99,0.0,8.31,41.13,1.24,7.35,9.5,0.23
1606464000,1,233.65,0.0,7.63,37.55,0.98,7.06,8.76,0.21
1606467600,1,233.65,0.0,6.86,34.69,0.86,6.99,8.48,0.21
1606471200,1,230.31,0.0,5.57,32.19,0.79,7.08,8.32,0.18
1606474800,1,230.31,0.0,4.76,29.33,0.6,7.39,8.43,0.16
1606478400,1,236.99,0.0,4.93,29.33,0.44,7.82,8.83,0.15
1606482000,1,236.99,0.0,3.47,47.92,0.59,7.39,8.76,0.24
