dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,216.96,0.0,9.77,66.52,1.46,5.13,6.22,0.46
1606269600,1,213.62,0.0,9.6,67.23,1.46,4.69,5.71,0.42
1606273200,1,208.62,0.0,8.74,65.09,1.45,3.36,4.12,0.34
1606276800,1,213.62,0.0,8.65,62.94,1.57,2.81,3.5,0.38
1606280400,1,223.64,0.0,9.85,57.94,1.57,2.99,3.84,0.67
1606284000,1,226.97,0.0,10.71,59.37,1.77,4.53,7.85,1.06
1606287600,2,216.96,0.0,6.26,85.12,1.24,4.56,9.42,0.93
1606291200,2,226.97,0.0,4.63,90.84,1.51,3.07,5.26,0.86
1606294800,1,233.65,0.0,4.76,77.96,1.58,1.55,2.29,0.8
1606298400,1,236.99,0.0,4.76,71.53,1.42,0.78,1.14,0.72
1606302000,1,233.65,0.0,5.74,74.39,1.55,0.8,1.25,0.73
1606305600,1,236.99,0.0,7.71,75.1,1.79,0.98,1.6,0.83
1606309200,1,260.35,0.0,14.05,68.67,2.12,1.51,2.58,1.19
1606312800,1,290.39,0.54,21.08,59.37,2.33,1.99,3.45,1.57
1606316400,1,297.07,2.99,19.02,60.8,2.41,2.03,3.58,1.68
1606320000,1,270.37,3.13,11.65,69.38,2.12,1.55,2.75,1.44
1606323600,1,257.02,2.88,9.0,74.39,2.15,1.49,2.55,1.36
1606327200,2,247.0,2.32,7.28,80.82,2.18,1.65,2.57,1.27
1606330800,2,236.99,1.76,6.17,88.69,1.86,1.85,2.71,1.14
1606334400,2,233.65,1.73,6.68,92.98,1.97,2.24,3.19,1.14
1606338000,2,240.33,1.73,8.05,94.41,2.27,2.56,3.65,1.17
1606341600,1,350.48,6.43,28.1,65.8,2.59,4.6,6.99,2.15
1606345200,2,560.76,18.33,59.63,20.56,2.95,8.27,12.67,3.67
1606348800,2,781.06,41.57,76.08,0.59,3.34,12.36,18.86,5.0
1606352400,2,988.01,69.74,81.57,0.0,3.67,17.91,26.79,6.14
1606356000,3,1108.17,84.94,82.94,0.0,3.55,22.93,33.56,6.27
1606359600,3,1081.47,76.89,80.2,0.0,3.07,24.53,35.97,5.38
1606363200,3,881.2,44.26,71.97,0.0,2.35,20.85,32.28,4.12
1606366800,2,647.54,18.55,59.63,0.11,1.67,15.31,25.08,3.17
1606370400,2,487.33,4.86,46.61,2.84,1.33,10.93,17.53,2.31
1606374000,1,380.52,0.19,30.85,20.03,1.21,8.41,12.34,1.69
1606377600,1,330.45,0.02,20.05,33.62,1.07,7.31,10.02,1.43
1606381200,1,307.08,0.01,15.59,38.62,1.0,6.83,9.15,1.28
1606384800,1,300.41,0.01,14.22,38.98,1.0,6.71,8.87,1.2
1606388400,1,297.07,0.01,14.05,38.27,1.01,6.65,8.7,1.11
1606392000,1,297.07,0.02,15.08,37.19,1.06,6.67,8.73,1.11
1606395600,1,330.45,0.12,23.31,28.97,1.43,7.69,10.44,1.49
1606399200,1,387.19,1.59,33.59,18.24,2.71,9.68,13.48,1.95
1606402800,2,397.21,7.1,28.45,27.18,5.6,11.76,16.01,1.79
1606406400,2,340.46,5.64,18.34,46.49,9.18,11.64,15.36,1.25
1606410000,1,307.08,4.41,13.37,59.37,8.23,8.61,11.86,1.5
1606413600,1,283.72,3.05,10.45,72.96,6.26,8.2,10.77,1.33
1606417200,2,243.66,1.4,6.43,95.84,4.71,6.18,8.03,0.81
1606420800,2,233.65,1.13,5.91,100.14,3.82,5.5,7.69,0.72
1606424400,2,226.97,0.91,5.66,98.71,3.49,5.22,8.05,0.63
1606428000,2,247.0,1.08,10.03,90.12,3.93,6.22,10.02,0.74
1606431600,1,287.06,0.69,19.36,73.67,4.05,8.12,12.64,1.08
1606435200,1,320.44,0.01,26.05,59.37,3.52,9.87,14.88,1.36
1606438800,2,340.46,0.0,28.1,50.78,2.77,10.91,16.34,1.44
1606442400,2,343.8,0.01,27.42,45.42,2.18,11.44,17.18,1.24
1606446000,2,333.79,0.01,24.68,42.56,1.8,11.5,17.22,0.92
1606449600,2,317.1,0.01,21.42,40.77,1.49,10.91,16.26,0.73
1606453200,1,300.41,0.01,18.34,38.98,1.25,9.74,14.43,0.62
1606456800,1,273.71,0.01,14.22,38.62,1.13,8.33,12.06,0.44
1606460400,1,283.72,0.09,17.14,26.11,0.83,8.24,11.34,0.34
1606464000,1,310.42,0.59,22.28,10.82,0.8,9.23,12.58,0.4
1606467600,2,343.8,2.68,25.71,2.44,1.12,10.76,14.72,0.59
1606471200,2,363.83,4.41,28.79,1.04,1.54,11.92,15.74,0.63
1606474800,2,373.84,4.69,30.16,1.06,1.37,12.46,15.23,0.4
1606478400,2,380.52,5.03,28.1,1.24,1.24,12.33,14.28,0.36
1606482000,2,320.44,0.12,20.05,23.25,2.92,10.93,12.77,0.52
