dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,196.93,0.0,5.57,67.95,4.17,4.89,6.02,0.38
1606269600,1,196.93,0.0,5.57,65.09,3.67,4.69,5.85,0.46
1606273200,1,196.93,0.0,4.93,65.09,3.99,5.06,6.32,0.31
1606276800,1,196.93,0.0,4.28,65.8,3.99,5.19,6.49,0.23
1606280400,1,193.6,0.0,3.9,64.37,3.55,4.74,5.92,0.26
1606284000,1,190.26,0.0,3.56,62.94,3.28,4.4,5.39,0.26
1606287600,1,188.59,0.0,3.13,62.23,3.07,4.57,5.46,0.19
1606291200,1,185.25,0.0,2.68,61.51,2.86,4.96,5.84,0.17
1606294800,1,185.25,0.0,2.51,62.23,2.92,5.35,6.36,0.12
1606298400,1,185.25,0.0,2.53,62.94,3.04,6.1,7.32,0.05
1606302000,1,186.92,0.0,2.7,62.94,3.01,6.86,8.26,0.02
1606305600,1,188.59,0.0,3.0,61.51,2.95,7.47,9.0,0.02
1606309200,1,193.6,0.0,3.81,58.65,3.1,7.58,9.31,0.07
1606312800,1,205.28,0.13,5.48,55.08,3.4,7.81,9.8,0.16
1606316400,1,220.3,0.8,6.68,54.36,3.31,8.74,11.06,0.19
1606320000,2,216.96,1.1,6.08,62.23,2.98,10.22,12.83,0.01
1606323600,2,216.96,1.02,5.14,73.67,2.86,11.53,14.36,0.0
1606327200,2,213.62,0.73,3.98,87.26,2.74,13.03,15.96,0.0
1606330800,2,205.28,0.31,2.27,101.57,2.38,13.83,16.32,0.0
1606334400,2,196.93,0.21,1.97,107.29,2.21,13.41,15.66,0.0
1606338000,2,193.6,0.23,3.0,111.58,2.62,13.19,15.53,0.0
1606341600,2,190.26,0.19,3.6,108.72,3.13,12.24,14.93,0.0
1606345200,2,190.26,0.1,3.09,100.14,2.77,10.16,13.08,0.01
1606348800,2,188.59,0.01,2.19,80.82,1.13,6.44,9.08,0.14
1606352400,1,181.91,0.0,1.91,65.8,0.33,4.92,7.69,0.17
1606356000,1,178.58,0.0,1.65,65.09,0.24,5.08,7.99,0.15
1606359600,1,178.58,0.0,1.54,64.37,0.23,5.22,8.18,0.13
1606363200,1,178.58,0.0,1.71,62.94,0.22,5.46,8.75,0.13
1606366800,1,178.58,0.0,1.76,60.08,0.21,5.78,9.5,0.14
1606370400,1,178.58,0.0,1.65,57.94,0.2,6.06,10.3,0.14
1606374000,1,176.91,0.0,1.61,56.51,0.2,6.39,11.36,0.13
1606377600,1,176.91,0.0,1.67,55.08,0.19,6.5,12.18,0.12
1606381200,1,176.91,0.0,1.74,52.21,0.19,6.34,12.05,0.11
1606384800,1,180.24,0.0,1.86,50.07,0.21,6.05,11.53,0.11
1606388400,1,183.58,0.0,2.23,46.49,0.26,5.89,11.29,0.12
1606392000,1,190.26,0.0,3.13,43.27,0.43,6.03,11.74,0.13
1606395600,1,201.94,0.0,5.14,39.34,0.89,6.62,13.12,0.2
1606399200,1,216.96,0.03,8.31,34.33,2.03,7.58,14.81,0.31
1606402800,1,236.99,0.81,11.14,31.11,3.99,8.72,16.08,0.38
1606406400,1,243.66,2.12,10.97,37.19,5.36,9.69,15.94,0.4
1606410000,2,247.0,2.04,8.82,55.79,5.84,10.96,16.05,0.49
1606413600,2,240.33,1.3,6.17,78.68,9.06,12.91,17.34,0.5
1606417200,2,213.62,0.49,2.83,87.98,8.23,11.05,14.38,0.2
1606420800,1,200.27,0.31,2.1,77.25,5.9,6.99,9.06,0.23
1606424400,1,193.6,0.27,2.25,64.37,4.23,4.8,6.27,0.35
1606428000,1,191.93,0.24,3.13,57.22,3.25,4.35,5.6,0.38
1606431600,1,193.6,0.16,4.8,51.5,3.49,4.29,5.57,0.48
1606435200,1,195.27,0.01,6.0,47.21,3.52,4.37,6.33,0.57
1606438800,1,191.93,0.0,5.83,46.49,2.74,4.28,7.28,0.59
1606442400,1,191.93,0.0,5.66,44.7,2.74,4.64,8.65,0.57
1606446000,1,191.93,0.0,5.57,41.49,3.52,5.52,10.12,0.44
1606449600,1,190.26,0.0,5.4,38.62,4.29,6.36,11.05,0.31
1606453200,1,188.59,0.0,4.88,37.55,4.41,6.51,11.33,0.24
1606456800,1,185.25,0.0,4.16,37.19,4.23,5.85,10.98,0.19
1606460400,1,181.91,0.0,3.3,37.55,4.11,5.17,10.1,0.16
1606464000,1,180.24,0.0,2.68,37.91,3.82,4.85,9.02,0.14
1606467600,1,180.24,0.0,2.44,37.55,3.61,4.84,8.44,0.15
1606471200,1,180.24,0.0,2.4,37.19,3.52,5.15,8.6,0.16
1606474800,1,181.91,0.0,2.51,37.19,3.43,5.68,9.07,0.17
1606478400,1,185.25,0.0,2.72,37.91,3.31,6.37,9.76,0.17
1606482000,1,193.6,0.0,3.43,38.98,3.52,7.19,10.81,0.21
