dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,213.62,0.0,8.4,64.37,1.65,5.27,6.34,0.34
1606269600,1,213.62,0.0,8.65,67.23,1.61,5.61,6.68,0.37
1606273200,1,213.62,0.0,9.25,65.8,1.67,5.04,5.92,0.38
1606276800,1,220.3,0.0,10.88,60.8,1.89,3.79,4.56,0.43
1606280400,1,236.99,0.0,14.05,56.51,2.35,3.31,4.12,0.67
1606284000,1,233.65,0.0,11.82,55.79,1.91,3.9,5.51,0.93
1606287600,2,211.95,0.0,4.84,80.11,1.03,4.33,8.16,0.9
1606291200,2,220.3,0.0,3.6,85.83,1.19,2.76,4.54,0.86
1606294800,1,230.31,0.0,3.56,73.67,1.07,1.25,1.7,0.77
1606298400,1,230.31,0.0,3.3,70.1,0.87,0.65,0.83,0.67
1606302000,1,223.64,0.0,3.56,75.82,0.94,0.65,0.85,0.66
1606305600,1,226.97,0.0,4.63,77.96,1.07,0.76,1.04,0.72
1606309200,1,240.33,0.0,7.8,74.39,1.21,1.06,1.56,0.94
1606312800,1,260.35,0.29,12.17,67.95,1.43,1.39,2.06,1.22
1606316400,1,270.37,1.84,12.34,66.52,1.7,1.49,2.23,1.36
1606320000,1,253.68,2.29,8.65,72.24,1.54,1.27,1.91,1.24
1606323600,1,240.33,1.93,6.17,76.53,1.4,1.23,1.79,1.14
1606327200,2,230.31,1.37,4.37,82.97,1.24,1.34,1.85,1.03
1606330800,2,223.64,1.06,3.68,89.41,1.16,1.53,2.04,0.96
1606334400,2,223.64,1.08,4.11,92.98,1.25,1.81,2.4,0.98
1606338000,2,223.64,1.1,5.01,92.98,1.45,2.04,2.72,1.03
1606341600,1,300.41,3.58,17.48,70.81,1.62,3.47,4.85,1.69
1606345200,2,453.95,7.6,43.53,31.47,1.77,6.35,8.8,2.76
1606348800,2,614.17,13.19,65.12,2.08,2.06,9.44,13.03,3.64
1606352400,2,694.28,20.56,67.17,0.03,2.15,11.58,16.58,4.05
1606356000,2,767.71,27.49,73.34,0.01,2.15,14.58,21.68,4.24
1606359600,2,867.84,39.79,78.83,0.0,2.21,18.65,27.85,4.24
1606363200,2,821.11,35.32,72.66,0.0,1.91,18.91,28.22,3.26
1606366800,2,640.87,14.53,61.01,0.14,1.43,14.79,22.58,2.47
1606370400,2,487.33,2.26,47.3,5.41,1.18,10.96,16.63,1.79
1606374000,1,380.52,0.03,30.5,24.68,1.15,9.02,13.17,1.28
1606377600,1,327.11,0.0,19.54,35.05,0.97,7.72,10.99,1.05
1606381200,1,303.75,0.0,13.88,37.91,0.78,7.53,10.13,0.84
1606384800,1,293.73,0.0,11.48,36.84,0.66,7.71,9.94,0.71
1606388400,1,293.73,0.01,10.88,35.41,0.64,7.94,9.99,0.62
1606392000,1,290.39,0.01,10.88,35.76,0.75,8.2,10.18,0.57
1606395600,1,297.07,0.02,13.02,36.84,1.46,8.57,10.81,0.75
1606399200,1,320.44,0.28,18.34,35.05,2.68,9.32,12.07,1.09
1606402800,2,330.45,2.57,17.31,41.84,3.82,10.41,13.5,1.2
1606406400,1,297.07,2.77,11.31,59.37,4.11,9.27,12.08,1.14
1606410000,1,277.04,2.38,8.74,70.1,3.13,7.9,10.28,1.27
1606413600,2,260.35,1.82,7.37,82.25,3.34,7.96,9.88,1.12
1606417200,2,236.99,1.19,5.91,100.14,4.71,6.58,8.1,0.71
1606420800,2,230.31,0.99,5.48,105.86,4.35,6.31,8.11,0.6
1606424400,2,226.97,0.83,5.48,103.0,3.67,5.86,7.98,0.57
1606428000,2,236.99,0.92,8.65,92.98,3.22,5.6,8.34,0.71
1606431600,1,267.03,0.57,16.97,75.1,2.89,6.04,9.52,1.0
1606435200,1,290.39,0.01,21.59,60.8,2.24,6.68,10.62,1.17
1606438800,1,290.39,0.0,19.71,55.79,1.54,7.29,11.44,1.05
1606442400,1,290.39,0.0,17.99,52.93,1.33,8.09,12.61,0.9
1606446000,1,290.39,0.0,17.65,49.35,1.39,8.77,13.64,0.75
1606449600,1,283.72,0.0,16.11,45.78,1.46,8.88,13.65,0.61
1606453200,1,267.03,0.0,13.71,43.99,1.55,8.37,12.42,0.48
1606456800,1,250.34,0.0,10.97,43.27,1.51,7.55,10.6,0.34
1606460400,1,247.0,0.0,10.28,36.48,1.04,7.05,9.37,0.26
1606464000,1,253.68,0.01,11.65,27.18,0.75,7.13,9.32,0.27
1606467600,1,270.37,0.03,13.88,20.03,0.78,7.73,9.99,0.33
1606471200,1,277.04,0.04,14.4,18.42,0.91,8.27,10.13,0.32
1606474800,1,263.69,0.03,10.97,21.46,0.81,8.08,9.41,0.23
1606478400,1,253.68,0.03,8.31,23.25,0.64,8.03,9.08,0.2
1606482000,1,247.0,0.0,5.91,39.7,0.88,8.03,9.22,0.21
