dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,216.96,0.0,11.82,63.66,2.12,4.85,12.35,0.43
1606269600,1,213.62,0.0,10.63,62.23,1.94,5.34,13.12,0.35
1606273200,1,208.62,0.0,9.08,62.23,1.83,5.85,13.89,0.26
1606276800,1,203.61,0.0,8.14,62.23,1.79,5.98,13.98,0.22
1606280400,1,200.27,0.0,7.71,62.23,2.03,5.92,13.77,0.19
1606284000,1,191.93,0.0,6.77,62.94,2.89,5.72,12.74,0.12
1606287600,1,185.25,0.0,6.51,62.94,4.29,5.5,11.67,0.08
1606291200,1,183.58,0.0,6.34,61.51,4.89,5.66,12.37,0.06
1606294800,1,181.91,0.0,6.43,59.37,4.71,6.28,14.78,0.04
1606298400,1,183.58,0.0,7.11,57.22,4.53,6.99,15.82,0.05
1606302000,1,193.6,0.0,8.91,53.64,3.82,7.34,14.59,0.15
1606305600,1,201.94,0.0,9.6,51.5,2.74,7.07,11.89,0.26
1606309200,1,213.62,0.0,11.48,45.06,2.18,6.13,8.78,0.48
1606312800,1,236.99,0.05,16.79,36.12,2.35,4.91,6.5,0.74
1606316400,1,253.68,0.11,18.51,38.62,2.38,4.46,6.13,0.93
1606320000,1,260.35,0.27,16.79,43.27,2.35,4.37,6.69,1.09
1606323600,1,260.35,0.34,15.42,47.21,2.44,4.15,6.92,1.17
1606327200,1,260.35,0.35,14.22,52.93,2.5,3.89,6.64,1.17
1606330800,1,260.35,1.08,12.68,62.23,2.53,3.81,6.25,1.22
1606334400,1,263.69,1.79,11.82,72.24,2.65,4.1,6.18,1.27
1606338000,2,263.69,1.98,11.31,81.54,2.74,4.45,6.13,1.25
1606341600,1,320.44,3.74,21.42,70.1,2.62,5.64,7.52,1.68
1606345200,2,427.25,5.14,42.5,38.98,2.44,7.17,9.66,2.44
1606348800,2,520.71,4.41,65.12,6.8,2.33,8.58,11.6,3.1
1606352400,2,567.44,10.73,65.8,0.44,2.15,9.84,13.52,3.42
1606356000,2,554.09,11.51,63.75,0.31,2.06,10.62,14.86,3.33
1606359600,2,507.36,8.61,58.95,0.67,2.06,10.55,15.0,2.95
1606363200,2,453.95,6.09,51.41,1.22,2.38,10.02,14.58,2.5
1606366800,2,410.56,4.41,43.18,2.12,2.5,9.11,13.61,2.03
1606370400,1,353.81,1.26,33.24,7.42,2.38,7.39,10.99,1.33
1606374000,1,307.08,0.25,24.33,15.2,2.21,6.27,9.02,0.88
1606377600,1,277.04,0.1,18.68,19.49,2.18,5.53,7.69,0.64
1606381200,1,257.02,0.1,15.59,19.49,2.3,4.81,6.61,0.51
1606384800,1,243.66,0.12,13.88,17.52,2.3,4.22,5.83,0.46
1606388400,1,240.33,0.2,14.05,14.84,2.56,3.9,5.48,0.51
1606392000,1,250.34,0.48,17.14,10.91,3.22,3.98,5.72,0.67
1606395600,1,293.73,3.41,24.68,3.4,4.23,4.92,7.39,1.28
1606399200,1,370.5,13.86,28.1,1.54,5.42,6.13,9.65,2.19
1606402800,1,417.23,22.8,27.76,7.51,7.75,6.73,10.99,2.66
1606406400,1,373.84,19.45,29.13,18.42,15.14,6.08,10.05,2.28
1606410000,1,353.81,18.77,30.5,27.18,20.27,6.3,10.09,1.98
1606413600,1,323.77,14.75,30.85,40.41,22.41,6.67,9.86,1.55
1606417200,1,270.37,6.26,23.31,63.66,16.21,6.71,9.0,0.88
1606420800,1,263.69,3.05,20.56,69.38,12.99,7.02,8.97,0.74
1606424400,1,253.68,1.19,18.17,63.66,10.85,6.29,7.93,0.62
1606428000,1,260.35,0.38,20.74,48.64,10.73,5.65,7.25,0.67
1606431600,1,283.72,0.17,27.08,32.19,12.16,5.93,7.69,0.76
1606435200,1,307.08,0.09,31.87,23.96,11.56,6.3,8.24,0.78
1606438800,1,313.76,0.18,36.33,19.49,11.21,6.55,8.46,0.75
1606442400,1,317.1,0.32,39.41,15.2,10.73,6.57,8.52,0.77
1606446000,1,317.1,0.44,39.41,12.34,9.89,6.59,8.52,0.7
1606449600,1,313.76,0.48,37.01,11.27,8.58,6.82,8.64,0.62
1606453200,1,307.08,0.38,31.87,11.8,6.68,7.56,9.22,0.52
1606456800,1,280.38,0.16,23.65,14.48,4.89,8.34,9.59,0.34
1606460400,1,247.0,0.05,14.22,19.85,3.13,8.33,9.4,0.23
1606464000,1,220.3,0.02,9.25,25.75,2.44,8.87,10.48,0.19
1606467600,1,205.28,0.01,7.71,30.04,2.41,9.43,12.48,0.16
1606471200,1,200.27,0.01,8.05,31.47,3.01,9.38,13.4,0.15
1606474800,1,201.94,0.01,9.51,30.04,3.99,9.11,12.69,0.18
1606478400,1,210.29,0.03,12.17,26.46,4.77,8.73,11.99,0.27
1606482000,1,247.0,0.28,20.91,16.81,5.25,8.68,12.1,0.59
