dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,307.08,0.0,9.0,65.8,1.4,3.64,4.43,1.82
1606269600,1,270.37,0.0,6.86,66.52,1.45,3.36,4.07,1.73
1606273200,1,236.99,0.0,5.4,66.52,1.65,3.02,3.64,1.57
1606276800,1,216.96,0.0,4.71,65.09,2.03,3.43,4.02,1.27
1606280400,1,216.96,0.0,4.5,62.94,2.47,5.91,6.86,0.9
1606284000,1,216.96,0.0,3.94,63.66,2.65,8.21,9.52,0.52
1606287600,1,216.96,0.0,3.73,60.08,1.97,9.44,10.83,0.44
1606291200,2,216.96,0.0,3.6,54.36,1.45,10.36,11.79,0.56
1606294800,2,211.95,0.0,3.51,47.92,1.12,10.95,12.43,0.86
1606298400,2,205.28,0.0,3.3,41.13,0.83,10.6,12.07,1.22
1606302000,1,203.61,0.0,3.09,37.55,0.62,9.88,11.32,1.14
1606305600,1,205.28,0.0,3.04,37.19,0.53,9.56,10.98,0.93
1606309200,1,213.62,0.0,4.03,35.05,0.45,9.58,11.03,0.78
1606312800,1,220.3,0.11,5.4,28.97,0.37,8.72,10.31,0.71
1606316400,1,210.29,0.54,4.37,27.54,0.26,6.74,8.44,0.7
1606320000,1,188.59,0.29,1.89,43.99,1.28,6.11,9.19,0.27
1606323600,1,186.92,0.42,1.8,50.78,2.77,7.19,11.6,0.14
1606327200,1,186.92,0.34,1.37,61.51,2.21,7.11,12.23,0.2
1606330800,1,188.59,0.22,1.04,77.96,1.83,7.01,12.7,0.28
1606334400,2,191.93,0.17,0.94,91.55,1.7,7.14,13.23,0.36
1606338000,2,195.27,0.15,1.0,100.14,1.65,7.15,13.62,0.43
1606341600,2,208.62,0.28,2.14,101.57,1.65,7.35,14.33,0.74
1606345200,2,230.31,0.34,4.46,97.28,1.61,7.6,14.85,1.12
1606348800,2,247.0,0.07,6.77,88.69,1.54,7.64,14.69,1.43
1606352400,2,253.68,0.0,7.2,81.54,1.34,7.62,14.19,1.66
1606356000,1,257.02,0.0,7.2,74.39,1.07,7.65,13.57,1.9
1606359600,1,263.69,0.0,7.2,67.23,0.82,7.65,12.85,2.09
1606363200,1,267.03,0.0,7.28,58.65,0.6,7.4,11.55,2.19
1606366800,1,260.35,0.0,6.86,50.78,0.47,6.5,9.3,2.09
1606370400,1,243.66,0.0,5.57,45.78,0.47,5.23,7.02,1.77
1606374000,1,230.31,0.0,4.41,43.99,0.66,4.51,6.02,1.33
1606377600,1,220.3,0.0,3.86,42.2,0.72,4.36,6.1,1.06
1606381200,1,211.95,0.0,3.51,41.84,0.63,4.35,6.5,0.9
1606384800,1,206.95,0.0,3.13,42.56,0.54,4.33,6.73,0.8
1606388400,1,205.28,0.0,2.83,43.99,0.53,4.29,6.85,0.76
1606392000,1,205.28,0.0,2.74,45.78,0.6,4.38,7.18,0.71
1606395600,1,213.62,0.0,3.38,47.92,0.72,4.71,7.76,0.64
1606399200,1,233.65,0.0,5.01,47.21,0.82,5.26,8.74,0.67
1606402800,1,243.66,0.04,5.83,46.49,1.0,5.63,9.51,0.63
1606406400,1,233.65,0.04,4.5,49.35,1.12,5.38,9.27,0.44
1606410000,1,223.64,0.05,3.6,50.07,1.15,5.26,8.71,0.38
1606413600,1,216.96,0.05,2.96,50.78,1.21,5.27,8.11,0.32
1606417200,1,206.95,0.11,2.23,57.94,1.3,5.37,7.58,0.14
1606420800,1,206.95,0.15,1.95,68.67,1.45,6.52,8.65,0.01
1606424400,1,205.28,0.17,1.82,75.1,1.49,7.69,10.03,0.0
1606428000,1,240.33,0.34,4.5,74.39,1.64,8.94,11.61,0.36
1606431600,2,333.79,0.28,11.14,65.8,1.94,10.32,13.42,1.16
1606435200,2,420.57,0.02,16.45,57.22,2.03,11.68,15.25,1.73
1606438800,2,467.3,0.0,18.68,49.35,1.79,13.16,17.01,2.31
1606442400,2,494.0,0.0,20.39,40.05,1.49,14.65,18.63,2.95
1606446000,2,500.68,0.0,20.74,32.19,1.25,15.83,19.87,3.33
1606449600,2,534.06,0.01,21.94,22.89,1.24,17.03,21.08,3.71
1606453200,2,534.06,0.03,21.08,18.24,1.21,18.51,22.33,3.29
1606456800,2,413.9,0.01,13.71,25.39,0.98,16.89,20.01,1.87
1606460400,1,233.65,0.0,4.46,37.55,1.89,7.44,9.97,0.64
1606464000,1,200.27,0.0,3.0,38.98,1.54,5.3,8.1,0.41
1606467600,1,190.26,0.0,2.42,38.98,1.21,4.99,7.78,0.35
1606471200,1,188.59,0.0,2.34,35.05,0.97,5.21,7.84,0.4
1606474800,1,191.93,0.0,2.66,30.04,0.83,5.69,8.24,0.54
1606478400,1,201.94,0.01,3.47,25.39,0.81,6.29,8.89,0.76
1606482000,1,236.99,0.04,6.17,20.92,0.85,7.01,9.72,1.03
