dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,200.27,0.0,2.87,67.95,0.9,5.83,6.65,0.13
1606269600,1,195.27,0.0,2.42,65.8,0.8,6.38,7.21,0.07
1606273200,1,188.59,0.0,1.69,65.09,0.69,6.43,7.62,0.04
1606276800,1,181.91,0.0,1.35,65.09,0.54,5.5,7.22,0.01
1606280400,1,176.91,0.0,1.46,65.09,0.6,3.8,5.72,0.0
1606284000,1,176.91,0.0,1.74,63.66,0.79,2.85,4.76,0.0
1606287600,1,178.58,0.0,2.25,59.37,1.25,2.77,4.48,0.0
1606291200,1,186.92,0.0,2.68,52.93,1.43,2.99,4.41,0.01
1606294800,1,183.58,0.0,2.1,46.49,1.21,3.44,4.51,0.06
1606298400,1,190.26,0.0,2.04,50.07,0.61,3.36,4.64,0.21
1606302000,1,210.29,0.0,2.57,57.94,0.55,3.31,5.18,0.35
1606305600,1,216.96,0.0,1.5,65.09,0.3,2.42,3.63,0.47
1606309200,1,220.3,0.0,1.11,67.23,0.16,1.17,1.64,0.59
1606312800,1,223.64,0.04,1.29,66.52,0.11,0.54,0.72,0.67
1606316400,1,220.3,0.17,1.17,70.1,0.11,0.5,0.65,0.66
1606320000,1,216.96,0.21,0.94,74.39,0.13,0.5,0.64,0.59
1606323600,1,213.62,0.18,0.73,77.96,0.14,0.5,0.63,0.53
1606327200,2,210.29,0.15,0.6,80.82,0.15,0.64,0.77,0.53
1606330800,2,208.62,0.13,0.55,83.69,0.16,0.79,0.93,0.53
1606334400,2,206.95,0.12,0.56,84.4,0.19,0.96,1.11,0.52
1606338000,2,205.28,0.12,0.63,85.12,0.22,1.1,1.27,0.51
1606341600,1,216.96,0.34,2.06,68.67,0.17,1.48,1.82,0.68
1606345200,1,240.33,0.4,4.93,47.92,0.11,1.9,2.54,0.96
1606348800,1,260.35,0.03,8.05,34.69,0.08,2.23,3.16,1.22
1606352400,1,277.04,0.04,9.94,24.68,0.06,2.74,4.08,1.47
1606356000,1,280.38,0.11,10.28,16.45,0.04,3.23,5.0,1.6
1606359600,1,270.37,0.12,9.34,13.95,0.03,3.44,5.46,1.52
1606363200,1,267.03,0.15,9.43,12.88,0.04,3.86,6.07,1.49
1606366800,1,280.38,0.24,10.63,9.66,0.04,4.55,6.89,1.54
1606370400,1,293.73,0.34,11.65,6.35,0.03,5.16,7.56,1.54
1606374000,1,313.76,0.36,12.68,4.56,0.04,5.77,8.21,1.52
1606377600,1,333.79,0.42,13.71,3.04,0.04,6.71,9.06,1.08
1606381200,1,350.48,0.38,15.25,3.53,0.05,7.71,9.95,1.01
1606384800,1,347.14,0.18,15.42,6.17,0.06,8.01,10.16,1.01
1606388400,1,327.11,0.12,14.05,8.32,0.05,7.59,9.61,0.7
1606392000,1,297.07,0.11,11.82,11.27,0.04,6.54,8.27,0.44
1606395600,1,263.69,0.04,8.14,23.96,0.05,4.54,5.67,0.45
1606399200,1,267.03,0.33,7.97,23.6,0.14,4.04,5.08,0.63
1606402800,1,270.37,1.84,6.34,25.03,0.69,4.14,5.14,0.83
1606406400,1,243.66,1.37,4.63,50.07,6.91,5.84,6.65,0.59
1606410000,1,233.65,1.44,4.41,57.94,8.35,6.97,8.04,0.52
1606413600,1,233.65,1.34,4.63,70.1,11.44,8.02,9.49,0.48
1606417200,2,230.31,1.27,5.44,85.83,18.12,8.36,9.9,0.29
1606420800,2,226.97,0.99,5.06,94.41,16.21,8.51,10.01,0.24
1606424400,2,223.64,0.73,4.93,95.84,13.95,8.17,9.66,0.32
1606428000,2,223.64,0.34,6.68,89.41,13.23,7.52,9.15,0.52
1606431600,1,230.31,0.13,8.91,77.25,12.76,7.22,8.96,0.74
1606435200,1,236.99,0.0,9.43,65.8,10.01,6.52,8.31,0.93
1606438800,1,233.65,0.0,7.71,57.22,5.9,5.81,7.62,0.97
1606442400,1,230.31,0.0,5.74,53.64,3.25,5.57,7.39,0.98
1606446000,1,223.64,0.0,4.5,52.21,2.3,5.61,7.43,0.98
1606449600,1,216.96,0.0,3.77,49.35,1.7,5.66,7.51,0.9
1606453200,1,216.96,0.0,3.47,43.99,1.18,5.66,7.54,0.63
1606456800,1,213.62,0.0,3.13,39.7,0.85,5.68,7.53,0.36
1606460400,1,210.29,0.0,2.72,33.26,0.54,5.71,7.43,0.22
1606464000,1,205.28,0.0,2.36,26.11,0.3,5.75,7.32,0.17
1606467600,1,200.27,0.01,2.08,20.21,0.17,5.75,7.11,0.17
1606471200,1,195.27,0.04,2.01,12.52,0.09,5.71,6.77,0.21
1606474800,1,188.59,0.13,2.08,6.08,0.06,5.62,6.49,0.25
1606478400,1,185.25,0.45,2.27,2.71,0.05,5.52,6.25,0.33
1606482000,1,200.27,2.1,2.51,0.72,0.04,5.74,6.46,0.43
