dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,2,195.27,0.0,2.53,98.71,0.47,3.96,16.61,0.48
1606269600,2,198.6,0.0,2.61,100.14,0.98,3.36,12.07,0.63
1606273200,1,211.95,0.0,2.91,77.25,1.27,1.27,2.83,0.67
1606276800,1,216.96,0.0,2.34,69.38,0.73,0.58,1.14,0.55
1606280400,2,210.29,0.0,1.95,82.97,0.55,0.57,1.16,0.55
1606284000,2,203.61,0.0,1.76,85.83,0.51,0.55,1.01,0.59
1606287600,2,200.27,0.0,1.61,85.12,0.5,0.5,0.82,0.66
1606291200,2,198.6,0.0,1.46,84.4,0.47,0.5,0.73,0.72
1606294800,2,198.6,0.0,1.32,85.83,0.43,0.5,0.69,0.72
1606298400,2,198.6,0.0,1.37,85.83,0.4,0.5,0.69,0.77
1606302000,2,200.27,0.0,1.76,82.97,0.41,0.5,0.71,0.87
1606305600,1,203.61,0.0,2.61,79.39,0.51,0.5,0.73,0.96
1606309200,1,213.62,0.0,5.14,73.67,0.6,0.74,1.04,1.09
1606312800,1,233.65,0.05,9.0,67.95,0.73,1.01,1.38,1.25
1606316400,1,243.66,1.16,9.6,66.52,0.86,1.13,1.54,1.25
1606320000,1,247.0,2.4,8.48,68.67,1.01,1.25,1.68,1.17
1606323600,1,247.0,2.88,7.63,70.1,1.07,1.45,1.88,1.14
1606327200,1,243.66,2.6,6.51,72.96,1.04,1.66,2.05,1.09
1606330800,2,196.93,0.54,1.86,97.28,0.83,1.63,6.64,0.37
1606334400,2,191.93,0.31,1.19,98.71,0.83,2.58,11.13,0.31
1606338000,2,191.93,0.27,1.21,100.14,0.84,3.29,13.69,0.32
1606341600,2,200.27,0.45,2.59,101.57,0.9,3.91,14.57,0.42
1606345200,2,213.62,0.43,4.63,98.71,0.9,4.51,14.85,0.57
1606348800,2,223.64,0.07,5.83,92.98,0.78,4.96,15.32,0.69
1606352400,2,230.31,0.0,6.26,87.26,0.66,5.3,15.35,0.79
1606356000,2,236.99,0.0,6.26,83.69,0.56,5.53,14.81,0.88
1606359600,2,236.99,0.0,5.66,81.54,0.47,5.56,13.93,0.9
1606363200,2,233.65,0.0,4.84,80.82,0.4,5.65,13.55,0.86
1606366800,2,230.31,0.0,4.2,82.25,0.37,6.06,13.95,0.82
1606370400,2,226.97,0.0,3.21,84.4,0.37,6.68,15.26,0.76
1606374000,2,223.64,0.0,2.55,82.97,0.36,7.28,16.55,0.76
1606377600,1,223.64,0.0,2.55,77.96,0.34,7.93,17.32,0.82
1606381200,1,226.97,0.0,2.68,73.67,0.35,8.65,17.96,0.86
1606384800,1,230.31,0.0,2.87,71.53,0.41,9.37,18.38,0.9
1606388400,1,230.31,0.0,3.04,71.53,0.48,9.93,18.3,0.93
1606392000,2,233.65,0.0,3.6,70.81,0.49,10.27,17.86,0.99
1606395600,2,247.0,0.0,6.26,67.23,0.48,10.43,17.41,1.19
1606399200,2,267.03,0.0,10.28,61.51,0.48,10.01,16.69,1.46
1606402800,1,267.03,0.34,10.54,61.51,0.47,8.85,15.89,1.54
1606406400,1,253.68,1.17,7.45,66.52,0.54,7.79,15.01,1.44
1606410000,1,247.0,1.51,5.74,72.24,0.62,7.14,13.63,1.35
1606413600,2,236.99,1.3,4.41,80.82,0.67,6.61,12.06,1.19
1606417200,2,198.6,0.37,1.59,98.71,0.42,3.88,6.52,0.55
1606420800,2,191.93,0.28,1.3,98.71,0.36,3.28,5.22,0.45
1606424400,2,190.26,0.25,1.32,98.71,0.37,3.29,5.21,0.46
1606428000,1,263.69,2.6,12.85,75.82,0.44,4.39,6.36,1.25
1606431600,1,373.84,4.53,30.16,41.13,0.47,5.7,7.7,2.19
1606435200,2,433.92,2.04,45.24,11.8,0.41,5.97,7.97,2.98
1606438800,2,423.91,3.07,41.81,3.09,0.41,5.41,7.51,3.2
1606442400,1,367.17,2.15,33.59,4.74,0.54,5.0,7.38,2.47
1606446000,1,300.41,0.27,23.31,19.13,0.43,4.56,6.84,1.79
1606449600,1,236.99,0.0,7.37,64.37,0.3,3.41,4.77,1.6
1606453200,1,233.65,0.0,4.93,67.23,0.28,3.37,4.64,1.5
1606456800,1,230.31,0.0,4.03,67.95,0.89,3.78,5.24,1.36
1606460400,1,220.3,0.0,3.26,70.1,1.27,4.16,5.68,1.27
1606464000,1,216.96,0.0,2.66,70.81,0.81,4.3,5.8,1.28
1606467600,1,216.96,0.0,2.27,70.1,0.47,4.58,6.08,1.35
1606471200,1,216.96,0.0,1.86,70.81,0.34,5.16,7.61,1.33
1606474800,1,216.96,0.0,1.59,71.53,0.33,5.73,12.32,1.33
1606478400,2,216.96,0.0,1.56,72.24,0.37,7.11,20.86,1.31
1606482000,2,220.3,0.0,1.86,72.96,0.42,9.76,31.79,1.31
