dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,1,203.61,0.0,7.03,67.95,1.48,4.07,5.14,0.82
1606269600,1,196.93,0.0,5.31,64.37,0.75,4.72,6.5,0.68
1606273200,1,188.59,0.0,4.63,61.51,0.98,6.12,10.02,0.37
1606276800,1,186.92,0.0,4.28,58.65,0.98,6.8,12.09,0.22
1606280400,1,190.26,0.0,4.76,54.36,0.81,6.97,12.17,0.24
1606284000,1,188.59,0.0,4.71,50.78,0.78,6.97,11.75,0.25
1606287600,1,188.59,0.0,4.67,47.92,0.85,7.07,11.44,0.28
1606291200,1,190.26,0.0,5.23,43.63,0.89,7.23,11.38,0.29
1606294800,1,198.6,0.0,6.68,38.98,1.25,7.61,11.87,0.29
1606298400,1,203.61,0.0,7.8,34.33,1.52,8.1,12.85,0.26
1606302000,1,201.94,0.0,6.77,29.33,1.12,7.37,11.54,0.34
1606305600,1,200.27,0.0,5.01,35.41,0.81,6.0,12.77,0.59
1606309200,2,208.62,0.0,4.58,59.37,1.01,7.53,21.51,0.9
1606312800,2,223.64,0.11,6.51,66.52,1.27,8.71,23.07,1.16
1606316400,1,233.65,0.85,6.77,68.67,1.59,8.28,19.35,1.25
1606320000,1,236.99,1.34,5.66,71.53,1.94,6.0,12.94,1.09
1606323600,1,236.99,1.36,4.84,77.25,2.3,4.07,8.33,0.93
1606327200,2,233.65,1.16,4.37,85.12,2.86,3.12,5.88,0.82
1606330800,2,226.97,1.02,4.24,95.84,3.99,2.85,5.2,0.73
1606334400,2,223.64,0.91,4.28,103.0,4.41,2.8,5.07,0.65
1606338000,2,223.64,0.8,4.41,104.43,4.47,2.69,4.62,0.63
1606341600,2,233.65,0.89,6.26,103.0,3.16,2.86,4.47,0.82
1606345200,2,253.68,0.72,9.94,95.84,1.58,3.4,4.75,1.06
1606348800,2,267.03,0.09,12.85,90.84,1.09,4.36,5.53,1.22
1606352400,2,273.71,0.0,12.85,89.41,1.07,5.58,6.63,1.35
1606356000,2,280.38,0.0,13.02,84.4,1.1,5.94,6.99,1.49
1606359600,1,283.72,0.0,12.51,78.68,0.95,5.53,6.6,1.58
1606363200,1,277.04,0.0,10.97,70.81,0.63,4.69,5.75,1.65
1606366800,1,270.37,0.0,10.37,62.94,0.38,3.97,5.0,1.79
1606370400,1,263.69,0.0,9.34,57.22,0.34,3.4,4.32,1.9
1606374000,1,257.02,0.0,8.4,52.93,0.46,3.16,3.99,2.01
1606377600,1,253.68,0.0,7.45,50.07,0.63,3.09,3.89,2.09
1606381200,1,250.34,0.0,6.86,47.21,0.82,3.1,3.9,2.12
1606384800,1,253.68,0.0,7.11,43.99,0.97,3.23,4.09,2.09
1606388400,1,257.02,0.0,8.14,39.34,0.98,3.48,4.4,2.03
1606392000,1,267.03,0.01,10.37,33.62,0.94,3.85,4.88,2.12
1606395600,1,307.08,0.13,17.48,23.96,0.86,4.74,6.1,2.57
1606399200,1,360.49,0.83,26.73,15.2,0.88,5.48,7.19,3.04
1606402800,1,363.83,1.48,26.39,22.17,1.07,5.25,7.24,2.91
1606406400,1,280.38,0.59,13.54,50.07,1.8,4.19,6.28,1.88
1606410000,1,263.69,1.12,9.43,54.36,2.09,4.62,6.88,1.58
1606413600,1,250.34,1.23,7.2,61.51,2.65,5.6,8.13,1.27
1606417200,1,220.3,0.78,4.84,76.53,3.99,7.23,10.6,0.37
1606420800,2,210.29,0.53,4.16,80.82,3.67,7.46,11.23,0.22
1606424400,2,206.95,0.37,3.81,80.82,3.46,7.31,11.25,0.18
1606428000,1,283.72,1.48,17.48,53.64,2.53,8.33,12.48,1.25
1606431600,1,407.22,2.79,37.36,18.6,1.85,9.81,14.31,2.41
1606435200,2,507.36,8.83,47.3,1.23,1.62,10.94,15.87,3.36
1606438800,2,580.79,20.34,42.5,0.03,1.22,12.5,18.12,4.12
1606442400,2,614.17,27.72,35.3,0.0,0.72,14.59,20.82,3.23
1606446000,2,607.49,26.38,30.85,0.01,0.48,16.02,22.14,1.55
1606449600,2,473.98,10.17,29.13,0.56,0.39,13.27,18.5,0.86
1606453200,2,390.53,2.4,24.33,3.26,0.32,11.07,15.7,0.67
1606456800,1,337.12,0.37,17.48,9.74,0.29,9.45,13.44,0.52
1606460400,1,290.39,0.04,11.14,16.99,0.29,8.01,11.18,0.46
1606464000,1,247.0,0.02,7.03,19.67,0.29,7.33,9.84,0.4
1606467600,1,220.3,0.01,4.88,20.92,0.35,7.84,10.35,0.35
1606471200,1,205.28,0.01,4.33,21.64,0.48,8.78,11.87,0.32
1606474800,1,198.6,0.01,4.16,22.71,0.62,8.94,12.41,0.3
1606478400,1,191.93,0.01,4.2,24.32,0.89,8.27,11.78,0.29
1606482000,1,200.27,0.04,6.51,23.6,1.52,7.48,10.7,0.33
