fold,dim,variance,r2,lr,batch,epochs
1,1,0.2148676713057961,0.2148676713057961,0.01,64,10
1,2,0.32159446455984997,0.32159446455984997,0.0001,256,10
1,3,0.4461396690468673,0.4461396690468673,0.0001,64,150
1,4,0.4356040939331072,0.4356040939331072,0.0001,32,100
1,5,0.45596349797486846,0.45596349797486846,0.0001,32,100
1,6,0.4873667163971229,0.4873667163971229,0.01,128,10
1,7,0.5146057025071678,0.5146057025071678,0.0001,32,75
1,8,0.5024320687342336,0.5024320687342336,0.0001,64,150
1,9,0.5145293517045187,0.5145293517045187,0.001,256,100
1,10,0.5339676534995662,0.5339676534995662,0.01,64,100
2,1,0.24264422768984273,0.24264422768984273,0.0001,32,50
2,2,0.4324942266893963,0.4324942266893963,0.0001,64,75
2,3,0.48996906762762027,0.48996906762762027,0.001,256,75
2,4,0.5045164180529714,0.5045164180529714,0.001,32,10
2,5,0.5492806700584629,0.5492806700584629,0.0001,64,100
2,6,0.5668290264686057,0.5668290264686057,0.0001,32,50
2,7,0.6022366652294007,0.6022366652294007,0.01,32,50
2,8,0.6346788061549093,0.6346788061549093,0.0001,128,150
2,9,0.6239018471340678,0.6239018471340678,0.0001,32,150
2,10,0.6234501098228288,0.6234501098228288,0.0001,32,75
3,1,0.25490731965690927,0.25490731965690927,0.01,32,100
3,2,0.28276809418081505,0.28276809418081505,0.0001,128,50
3,3,0.4954076422015242,0.4954076422015242,0.0001,64,50
3,4,0.5263076597203139,0.5263076597203139,0.0001,32,100
3,5,0.5591867309031981,0.5591867309031981,0.0001,32,150
3,6,0.5660765117087889,0.5660765117087889,0.01,32,10
3,7,0.5946586738840205,0.5946586738840205,0.0001,32,150
3,8,0.6174902604335257,0.6174902604335257,0.0001,64,100
3,9,0.6028741626699504,0.6028741626699504,0.001,128,50
3,10,0.6150397259282798,0.6150397259282798,0.01,128,150
4,1,0.1383013332330736,0.1383013332330736,0.001,64,10
4,2,0.26192214980743234,0.26192214980743234,0.001,256,50
4,3,0.26964380241826535,0.26964380241826535,0.001,128,50
4,4,0.29536001513546806,0.29536001513546806,0.0001,32,50
4,5,0.3171378656712637,0.3171378656712637,0.01,64,10
4,6,0.3307007511640342,0.3307007511640342,0.01,64,75
4,7,0.35337796831152657,0.35337796831152657,0.0001,32,100
4,8,0.35310422121421825,0.35310422121421825,0.0001,64,150
4,9,0.3801738434757056,0.3801738434757056,0.0001,128,150
4,10,0.37694062179676824,0.37694062179676824,0.001,256,150
5,1,0.22679183335974384,0.22679183335974384,0.01,64,100
5,2,0.2820148981894365,0.2820148981894365,0.001,256,50
5,3,0.40855895543163545,0.40855895543163545,0.001,64,10
5,4,0.4504460304655461,0.4504460304655461,0.001,128,50
5,5,0.46060608634146516,0.46060608634146516,0.001,128,75
5,6,0.4901988613194561,0.4901988613194561,0.0001,32,75
5,7,0.4987346018951967,0.4987346018951967,0.001,256,150
5,8,0.502077880186034,0.502077880186034,0.0001,32,150
5,9,0.5129731507432583,0.5129731507432583,0.0001,32,150
5,10,0.5219838479106929,0.5219838479106929,0.0001,64,100
