fold,dim,variance,r2,lr,batch,epochs
1,1,0.06240354029716788,0.06240354029716788,0.0001,64,10
1,2,0.043097356323181346,0.043097356323181346,0.0001,256,10
1,3,0.168289891511737,0.168289891511737,0.0001,256,75
1,4,0.18398617822279917,0.18398617822279917,0.0001,128,50
1,5,0.21985979410247314,0.21985979410247314,0.0001,128,75
1,6,0.25512919720968674,0.25512919720968674,0.001,128,10
1,7,0.2679174171017624,0.2679174171017624,0.0001,64,100
1,8,0.3057843077914907,0.3057843077914907,0.0001,64,50
1,9,0.30388618577300763,0.30388618577300763,0.0001,128,150
2,1,0.06295920310734238,0.06295920310734238,0.0001,256,50
2,2,0.13460972960142226,0.13460972960142226,0.0001,256,75
2,3,0.1787936766271251,0.1787936766271251,0.0001,256,100
2,4,0.19599440863592332,0.19599440863592332,0.1,128,10
2,5,0.1991940286335937,0.1991940286335937,0.0001,256,100
2,6,0.2709651145392291,0.2709651145392291,0.01,256,10
2,7,0.2850144769375993,0.2850144769375993,0.0001,64,75
2,8,0.3109744767007193,0.3109744767007193,0.0001,64,75
2,9,0.34197058610519937,0.34197058610519937,0.001,32,10
3,1,0.07662219058086661,0.07662219058086661,0.0001,128,10
3,2,0.03467481818858187,0.03467481818858187,0.0001,64,10
3,3,0.1318515867922111,0.1318515867922111,0.0001,256,75
3,4,0.15668958815087974,0.15668958815087974,0.0001,256,100
3,5,0.1780626737358546,0.1780626737358546,0.0001,128,50
3,6,0.23885143484249205,0.23885143484249205,0.0001,64,100
3,7,0.26486590831854806,0.26486590831854806,0.0001,64,50
3,8,0.2742262737350907,0.2742262737350907,0.0001,64,100
3,9,0.33141899555687326,0.33141899555687326,0.0001,128,75
4,1,0.04760717302240247,0.04760717302240247,0.0001,256,10
4,2,0.09468575531158041,0.09468575531158041,0.0001,256,50
4,3,0.155982849683175,0.155982849683175,0.001,256,10
4,4,0.17268446946416838,0.17268446946416838,0.0001,256,150
4,5,0.18971604786965945,0.18971604786965945,0.001,256,10
4,6,0.2348425985073862,0.2348425985073862,0.0001,32,50
4,7,0.24557823101061027,0.24557823101061027,0.01,32,100
4,8,0.26132252522512167,0.26132252522512167,0.0001,32,100
4,9,0.3025658320203909,0.3025658320203909,0.0001,256,100
5,1,0.06717804454229126,0.06717804454229126,0.0001,64,10
5,2,0.05656238338573205,0.05656238338573205,0.0001,128,10
5,3,0.11984344772054567,0.11984344772054567,0.0001,256,100
5,4,0.1710287343307897,0.1710287343307897,0.0001,256,100
5,5,0.2109649050721587,0.2109649050721587,0.0001,128,100
5,6,0.23930612987505684,0.23930612987505684,0.001,256,75
5,7,0.28852907413829143,0.28852907413829143,0.0001,128,100
5,8,0.28712733688590963,0.28712733688590963,0.0001,64,75
5,9,0.32142046108923206,0.32142046108923206,0.0001,64,50
