fold,dim,variance,r2,lr,batch,epochs
1,6,0.4019998569083093,0.4019998569083093,0.0001,32,100
1,7,0.4149923092766391,0.4149923092766391,0.0001,64,100
1,8,0.4186868330014428,0.4186868330014428,0.0001,32,100
1,9,0.42377741367871813,0.42377741367871813,0.0001,32,150
2,6,0.5230877925488409,0.5230877925488409,0.1,256,75
2,7,0.5654472363485477,0.5654472363485477,0.001,128,75
2,8,0.5608279817878783,0.5608279817878783,0.0001,32,50
2,9,0.562148257977419,0.562148257977419,0.001,256,100
3,6,0.48169049984017875,0.48169049984017875,0.001,128,75
3,7,0.49528112153485016,0.49528112153485016,0.01,256,50
3,8,0.5009701337258367,0.5009701337258367,0.0001,128,150
3,9,0.506541252882013,0.506541252882013,0.0001,64,150
4,6,0.4247310219252449,0.4247310219252449,0.0001,64,150
4,7,0.4617778169709069,0.4617778169709069,0.0001,64,100
4,8,0.461598489178473,0.461598489178473,0.0001,64,100
4,9,0.4623095565503811,0.4623095565503811,0.0001,64,150
5,6,0.41815393348442453,0.41815393348442453,0.001,128,50
5,7,0.43340535963111393,0.43340535963111393,0.01,256,50
5,8,0.437229192804373,0.437229192804373,0.001,256,100
5,9,0.4404246551042996,0.4404246551042996,0.0001,64,150
