fold,dim,variance,r2,lr,batch,epochs
1,1,0.1732640796663818,0.1732640796663818,0.01,32,150
1,2,0.295940392432419,0.295940392432419,0.0001,64,100
1,3,0.3634800803043896,0.3634800803043896,0.0001,32,150
1,4,0.3971659263226891,0.3971659263226891,0.001,128,50
1,6,0.4057644500501839,0.4057644500501839,0.0001,64,75
1,7,0.42145856667166925,0.42145856667166925,0.001,32,10
1,8,0.4121764117115617,0.4121764117115617,0.01,32,100
1,9,0.42471422861552477,0.42471422861552477,0.01,128,150
2,1,0.23276962787156597,0.23276962787156597,0.01,64,50
2,2,0.3900319534439872,0.3900319534439872,0.0001,64,75
2,3,0.46970344454943924,0.46970344454943924,0.0001,64,100
2,4,0.49200617634080546,0.49200617634080546,0.01,256,50
2,5,0.5098500481269181,0.5098500481269181,0.001,64,75
2,6,0.5498486534160737,0.5498486534160737,0.01,128,10
2,7,0.5593020142454437,0.5593020142454437,0.01,64,75
2,8,0.5537757089712932,0.5537757089712932,0.001,256,150
2,9,0.563953655323552,0.563953655323552,0.0001,32,100
3,1,0.2016003787513454,0.2016003787513454,0.01,32,150
3,2,0.2667689374697796,0.2667689374697796,0.001,256,75
3,3,0.3816542983539586,0.3816542983539586,0.0001,64,100
3,4,0.4530531341947901,0.4530531341947901,0.0001,64,75
3,5,0.46879773270423475,0.46879773270423475,0.001,256,75
3,6,0.4875041320120942,0.4875041320120942,0.001,64,50
3,7,0.49426086201710273,0.49426086201710273,0.01,256,50
3,8,0.49365744164075054,0.49365744164075054,0.01,32,150
3,9,0.504096575305975,0.504096575305975,0.001,256,50
4,1,0.1913121469482828,0.1913121469482828,0.01,32,75
4,2,0.19770525424682517,0.19770525424682517,0.001,256,50
4,3,0.33835594318135487,0.33835594318135487,0.1,128,10
4,4,0.38226036191084634,0.38226036191084634,0.001,256,100
4,5,0.40653878640096197,0.40653878640096197,0.0001,32,150
4,6,0.42146275235281305,0.42146275235281305,0.01,32,50
4,7,0.44299218071559865,0.44299218071559865,0.01,32,150
4,8,0.46132019586300965,0.46132019586300965,0.0001,64,150
4,9,0.4521198205477135,0.4521198205477135,0.0001,32,100
5,1,0.19812894783611412,0.19812894783611412,0.001,64,10
5,2,0.26910271334694935,0.26910271334694935,0.01,256,10
5,3,0.33530126493268486,0.33530126493268486,0.0001,64,150
5,4,0.398295535076405,0.398295535076405,0.0001,64,150
5,5,0.40865821255129176,0.40865821255129176,0.001,128,75
5,6,0.4209282410382331,0.4209282410382331,0.0001,32,50
5,7,0.4372603046926421,0.4372603046926421,0.0001,32,75
5,8,0.4484892785610931,0.4484892785610931,0.0001,32,50
5,9,0.4512059036637308,0.4512059036637308,0.001,128,50
