fold,dim,variance,r2,lr,batch,epochs
1,10,0.43946769248978035,0.43946769248978035,0.0001,32,100
1,20,0.47209492240770534,0.47209492240770534,0.001,128,50
1,30,0.4995394433271638,0.4995394433271638,0.0001,32,100
1,40,0.5222961497704564,0.5222961497704564,0.001,32,75
1,50,0.537855146226296,0.537855146226296,0.0001,64,150
1,60,0.5455319146427315,0.5455319146427315,0.01,128,75
1,70,0.5608944590906968,0.5608944590906968,0.01,128,75
1,80,0.5687671858220731,0.5687671858220731,0.01,64,100
1,90,0.5798852124082079,0.5798852124082079,0.01,64,100
1,100,0.5903372035469888,0.5903372035469888,0.001,128,150
1,110,0.5984303679391205,0.5984303679391205,0.0001,32,150
1,120,0.6040386950177595,0.6040386950177595,0.001,128,75
2,10,0.5866616608141102,0.5866616608141102,0.0001,32,75
2,20,0.6301548540321718,0.6301548540321718,0.001,32,100
2,30,0.6562709279803741,0.6562709279803741,0.001,64,150
2,40,0.6833320789002524,0.6833320789002524,0.001,256,150
2,50,0.7027220617774628,0.7027220617774628,0.01,128,100
2,60,0.7115328907565853,0.7115328907565853,0.01,256,75
2,70,0.7208175516144848,0.7208175516144848,0.01,256,75
2,80,0.7321797101766194,0.7321797101766194,0.01,128,50
2,90,0.7365557836153379,0.7365557836153379,0.01,256,100
2,100,0.742620446553893,0.742620446553893,0.001,32,75
2,110,0.7537378474857911,0.7537378474857911,0.01,64,100
2,120,0.7591459912887464,0.7591459912887464,0.01,64,50
3,10,0.517057024636872,0.517057024636872,0.0001,64,150
3,20,0.5708451333502007,0.5708451333502007,0.0001,64,150
3,30,0.6000629709737697,0.6000629709737697,0.01,32,10
3,40,0.6182900922574548,0.6182900922574548,0.001,128,150
3,50,0.6344143754450965,0.6344143754450965,0.01,32,75
3,60,0.6440708281447547,0.6440708281447547,0.001,128,100
3,70,0.6529794633643289,0.6529794633643289,0.01,256,100
3,80,0.6654599726446992,0.6654599726446992,0.01,32,10
3,90,0.6706186437981915,0.6706186437981915,0.01,32,75
3,100,0.6761168540286688,0.6761168540286688,0.001,32,100
3,110,0.6813688804111169,0.6813688804111169,0.0001,64,150
3,120,0.6870042211684235,0.6870042211684235,0.001,64,75
4,10,0.4557056902885016,0.4557056902885016,0.001,256,100
4,20,0.5081453070550876,0.5081453070550876,0.001,256,150
4,30,0.5359621245714454,0.5359621245714454,0.001,256,150
4,40,0.5553507099961886,0.5553507099961886,0.01,256,150
4,50,0.5639601319225193,0.5639601319225193,0.001,64,150
4,60,0.5727272738511149,0.5727272738511149,0.01,128,150
4,70,0.5830086356463561,0.5830086356463561,0.0001,32,150
4,80,0.5911350769233563,0.5911350769233563,0.0001,32,100
4,90,0.597301653036715,0.597301653036715,0.01,64,100
4,100,0.6059514749399815,0.6059514749399815,0.01,64,50
4,110,0.6109011878789312,0.6109011878789312,0.001,32,50
4,120,0.6141824291726118,0.6141824291726118,0.001,128,100
5,10,0.47789291625940933,0.47789291625940933,0.001,128,50
5,20,0.5046741005565397,0.5046741005565397,0.001,256,100
5,30,0.5307951911024236,0.5307951911024236,0.001,128,75
5,40,0.5554258642914116,0.5554258642914116,0.01,256,75
5,50,0.5661887592751862,0.5661887592751862,0.01,256,150
5,60,0.5769836142198743,0.5769836142198743,0.001,256,150
5,70,0.5891599091478489,0.5891599091478489,0.01,128,50
5,80,0.5940994055930422,0.5940994055930422,0.01,64,75
5,90,0.6030047646221844,0.6030047646221844,0.01,128,75
5,100,0.614670654596555,0.614670654596555,0.001,256,150
5,110,0.61540332365671,0.61540332365671,0.0001,32,75
5,120,0.6210967085858401,0.6210967085858401,0.01,32,10
