fold,dim,variance,r2,lr,batch,epochs
1,1,0.33664680985253614,0.33664680985253614,0.0001,128,100
1,2,0.5009909996924358,0.5009909996924358,0.1,256,10
1,3,0.557304705464874,0.557304705464874,0.0001,128,50
1,4,0.7235300696602258,0.7235300696602258,0.001,32,10
1,5,0.7344734017287666,0.7344734017287666,0.01,32,150
1,6,0.7523042159262187,0.7523042159262187,0.0001,32,50
1,7,0.7847593815342226,0.7847593815342226,0.0001,32,75
1,8,0.7906075386059331,0.7906075386059331,0.0001,32,150
1,9,0.8021914261186425,0.8021914261186425,0.0001,128,150
2,1,0.3868957460752529,0.3868957460752529,0.001,64,10
2,2,0.4310495679942349,0.4310495679942349,0.01,32,10
2,3,0.5166279424016256,0.5166279424016256,0.0001,128,150
2,4,0.728127791871309,0.728127791871309,0.0001,32,75
2,5,0.7308899057122076,0.7308899057122076,0.01,32,10
2,6,0.7415654803283258,0.7415654803283258,0.1,64,10
2,7,0.7604152318767228,0.7604152318767228,0.0001,64,150
2,8,0.7836103617446442,0.7836103617446442,0.0001,32,100
2,9,0.7944206781716676,0.7944206781716676,0.001,128,50
3,1,0.3310010690394798,0.3310010690394798,0.0001,32,50
3,2,0.4594118419778337,0.4594118419778337,0.001,128,10
3,3,0.5610528315841153,0.5610528315841153,0.0001,64,50
3,4,0.7345087707214917,0.7345087707214917,0.0001,64,100
3,5,0.7456113104965045,0.7456113104965045,0.001,32,10
3,6,0.7626670195475032,0.7626670195475032,0.1,64,10
3,7,0.769210150479478,0.769210150479478,0.0001,64,150
3,8,0.7889304827062069,0.7889304827062069,0.001,256,50
3,9,0.8144009446512691,0.8144009446512691,0.0001,64,150
4,1,0.3070425880908667,0.3070425880908667,0.0001,64,75
4,2,0.4929212527552269,0.4929212527552269,0.0001,32,50
4,3,0.707965497290201,0.707965497290201,0.0001,64,75
4,4,0.7473330305011885,0.7473330305011885,0.0001,64,150
4,5,0.7484837299434604,0.7484837299434604,0.01,32,10
4,6,0.7528047342382791,0.7528047342382791,0.0001,32,150
4,7,0.773948212455331,0.773948212455331,0.0001,64,100
4,8,0.7802883256127906,0.7802883256127906,0.001,64,10
4,9,0.8016101065341479,0.8016101065341479,0.001,32,10
5,1,0.3240380566673018,0.3240380566673018,0.0001,64,75
5,2,0.5144598435383763,0.5144598435383763,0.1,128,10
5,3,0.5206043771115247,0.5206043771115247,0.1,256,10
5,4,0.7322414842517213,0.7322414842517213,0.0001,32,75
5,5,0.754447740485054,0.754447740485054,0.0001,32,75
5,6,0.7492570174484624,0.7492570174484624,0.0001,64,150
5,7,0.7719720179291616,0.7719720179291616,0.0001,64,100
5,8,0.7948279748343756,0.7948279748343756,0.0001,64,100
5,9,0.8043200478445398,0.8043200478445398,0.0001,32,100
