fold,dim,variance,r2,lr,batch,epochs
1,1,0.102056403,0.102056403,0.01,32,100
1,2,0.156085893,0.156085893,0.0001,128,50
1,3,0.18515661,0.18515661,0.0001,64,10
1,4,0.166806728,0.166806728,0.0001,128,50
2,1,0.161157899,0.161157899,0.001,256,10
2,2,0.183948034,0.183948034,0.0001,32,10
2,3,0.198568467,0.198568467,0.001,128,10
2,4,0.191094734,0.191094734,0.0001,128,50
3,1,0.141114491,0.141114491,0.0001,256,75
3,2,0.181002087,0.181002087,0.0001,32,10
3,3,0.167596759,0.167596759,0.0001,64,10
3,4,0.190200381,0.190200381,0.001,256,10
4,1,0.138769504,0.138769504,0.0001,32,10
4,2,0.147325767,0.147325767,0.0001,256,50
4,3,0.161671043,0.161671043,0.0001,256,75
4,4,0.18392586,0.18392586,0.0001,32,10
5,1,0.128370807,0.128370807,0.0001,256,75
5,2,0.16191916,0.16191916,0.0001,32,10
5,3,0.161858438,0.161858438,0.0001,64,10
5,4,0.172405477,0.172405477,0.0001,256,100
1,6,0.219584396,0.219584396,0.0001,256,100
1,7,0.209810394,0.209810394,0.0001,64,100
1,8,0.22687379,0.22687379,0.0001,256,150
2,6,0.212927994,0.212927994,0.0001,32,10
2,7,0.268851704,0.268851704,0.0001,64,10
2,8,0.225398212,0.225398212,0.0001,64,10
3,6,0.204678197,0.204678197,0.0001,256,150
3,7,0.205407231,0.205407231,0.001,128,10
3,8,0.236063598,0.236063598,0.0001,32,10
4,6,0.198612699,0.198612699,0.0001,256,100
4,7,0.205837631,0.205837631,0.0001,128,75
4,8,0.222807054,0.222807054,0.001,128,10
5,6,0.205422018,0.205422018,0.0001,128,75
5,7,0.200349454,0.200349454,0.0001,256,75
5,8,0.207628987,0.207628987,0.01,128,75
1,10,0.239506417,0.239506417,0.0001,256,100
1,20,0.348334191,0.348334191,0.001,256,100
1,30,0.44100327,0.44100327,0.0001,32,100
1,40,0.475664807,0.475664807,0.01,32,75
1,50,0.495357604,0.495357604,0.001,32,10
2,10,0.246108254,0.246108254,0.001,128,10
2,20,0.338594762,0.338594762,0.001,32,10
2,30,0.437832457,0.437832457,0.001,256,75
2,40,0.486730784,0.486730784,0.001,64,10
2,50,0.520085112,0.520085112,0.001,32,10
3,10,0.25925677,0.25925677,0.0001,64,50
3,20,0.350787668,0.350787668,0.0001,128,75
3,30,0.401097379,0.401097379,0.001,64,50
3,40,0.452816372,0.452816372,0.0001,64,75
3,50,0.462444895,0.462444895,0.0001,64,75
4,10,0.231642969,0.231642969,0.001,128,10
4,20,0.341904415,0.341904415,0.001,64,10
4,30,0.401915536,0.401915536,0.01,32,75
4,40,0.437148209,0.437148209,0.01,256,10
4,50,0.451184498,0.451184498,0.0001,32,75
5,10,0.239661638,0.239661638,0.001,256,10
5,20,0.359086924,0.359086924,0.0001,128,100
5,30,0.433972421,0.433972421,0.0001,64,50
5,40,0.468240881,0.468240881,0.0001,64,100
5,50,0.493275642,0.493275642,0.01,256,10
1,70,0.551484824,0.551484824,0.001,32,10
1,80,0.558863781,0.558863781,0.01,64,100
2,70,0.580168546,0.580168546,0.001,128,50
2,80,0.603440379,0.603440379,0.001,128,50
3,70,0.504392805,0.504392805,0.01,128,10
3,80,0.530419759,0.530419759,0.01,256,150
4,70,0.493859245,0.493859245,0.001,128,50
4,80,0.50676571,0.50676571,0.01,64,100
5,70,0.522256359,0.522256359,0.0001,64,100
5,80,0.54163474,0.54163474,0.0001,256,150
1,90,0.571359934,0.571359934,0.001,256,150
1,100,0.583372117,0.583372117,0.0001,64,150
2,90,0.613485957,0.613485957,0.01,256,150
2,100,0.621681121,0.621681121,0.01,128,150
3,90,0.543286361,0.543286361,0.01,128,10
3,100,0.542755728,0.542755728,0.01,32,100
4,90,0.512153606,0.512153606,0.0001,32,75
4,100,0.524333622,0.524333622,0.001,32,100
5,90,0.55399258,0.55399258,0.0001,128,100
5,100,0.56223783,0.56223783,0.01,32,100
1,110,0.589062331,0.589062331,0.01,128,150
1,120,0.604972073,0.604972073,0.0001,64,75
2,110,0.6288745,0.6288745,0.01,128,75
2,120,0.629881471,0.629881471,0.0001,64,150
3,110,0.548853048,0.548853048,0.0001,32,75
3,120,0.557729524,0.557729524,0.0001,64,100
4,110,0.532356378,0.532356378,0.01,32,150
4,120,0.540275178,0.540275178,0.001,32,10
5,110,0.568130418,0.568130418,0.01,128,100
5,120,0.573061402,0.573061402,0.001,256,150
