fold,dim,variance,r2,lr,batch,epochs
1,1,0.17055983,0.17055983,0.1,32,10
1,2,0.184409285,0.184409285,0.1,64,50
1,3,0.18456963,0.18456963,0.01,32,100
1,4,0.195007684,0.195007684,0.0001,256,75
2,1,0.286030659,0.286030659,0.01,32,10
2,2,0.314299754,0.314299754,0.0001,32,10
2,3,0.337493021,0.337493021,0.0001,128,50
2,4,0.349481465,0.349481465,0.0001,256,50
3,1,0.250667379,0.250667379,0.1,64,10
3,2,0.239869535,0.239869535,0.1,128,50
3,3,0.262213207,0.262213207,0.01,128,10
3,4,0.283803821,0.283803821,0.0001,128,50
4,1,0.179097841,0.179097841,0.1,64,50
4,2,0.189373422,0.189373422,0.0001,256,75
4,3,0.204315791,0.204315791,0.0001,128,50
4,4,0.213403798,0.213403798,0.0001,256,50
5,1,0.178434445,0.178434445,0.0001,256,75
5,2,0.190750588,0.190750588,0.0001,256,50
5,3,0.198976618,0.198976618,0.0001,32,10
5,4,0.224481542,0.224481542,0.0001,256,100
1,6,0.209024229,0.209024229,0.001,128,10
1,7,0.224460014,0.224460014,0.0001,64,50
1,8,0.227732316,0.227732316,0.01,32,50
2,6,0.346726387,0.346726387,0.001,128,10
2,7,0.358713853,0.358713853,0.001,256,10
2,8,0.365913268,0.365913268,0.0001,64,50
3,6,0.284416594,0.284416594,0.0001,256,150
3,7,0.292479092,0.292479092,0.0001,64,75
3,8,0.296852142,0.296852142,0.01,32,50
4,6,0.217878164,0.217878164,0.0001,256,100
4,7,0.229307684,0.229307684,0.0001,64,75
4,8,0.24156611,0.24156611,0.0001,256,100
5,6,0.230058504,0.230058504,0.0001,128,50
5,7,0.228059556,0.228059556,0.001,128,10
5,8,0.244051515,0.244051515,0.0001,64,75
1,10,0.240468658,0.240468658,0.0001,128,50
1,20,0.280473058,0.280473058,0.0001,64,50
1,30,0.32293374,0.32293374,0.0001,32,150
1,40,0.357643407,0.357643407,0.001,256,50
1,50,0.376292459,0.376292459,0.0001,64,75
2,10,0.366282441,0.366282441,0.1,256,50
2,20,0.410571782,0.410571782,0.001,256,10
2,30,0.462614205,0.462614205,0.001,256,50
2,40,0.478666369,0.478666369,0.0001,32,150
2,50,0.505447504,0.505447504,0.0001,64,50
3,10,0.313340928,0.313340928,0.0001,256,100
3,20,0.342593294,0.342593294,0.0001,256,100
3,30,0.395068818,0.395068818,0.0001,32,100
3,40,0.414253002,0.414253002,0.001,256,50
3,50,0.429212835,0.429212835,0.01,256,10
4,10,0.23460977,0.23460977,0.001,128,10
4,20,0.271025915,0.271025915,0.0001,256,100
4,30,0.310235646,0.310235646,0.001,32,10
4,40,0.322366416,0.322366416,0.001,256,75
4,50,0.342035068,0.342035068,0.01,32,10
5,10,0.251225596,0.251225596,0.0001,128,75
5,20,0.293283206,0.293283206,0.0001,128,100
5,30,0.344331893,0.344331893,0.0001,64,100
5,40,0.373080567,0.373080567,0.0001,64,150
5,50,0.389259812,0.389259812,0.001,128,50
1,70,0.421880535,0.421880535,0.0001,128,100
1,80,0.439170495,0.439170495,0.01,256,10
2,70,0.535587915,0.535587915,0.01,256,75
2,80,0.548089915,0.548089915,0.01,256,10
3,70,0.45448125,0.45448125,0.01,32,50
3,80,0.469570367,0.469570367,0.001,256,75
4,70,0.371131279,0.371131279,0.01,128,10
4,80,0.383627943,0.383627943,0.01,256,10
5,70,0.425675726,0.425675726,0.0001,64,50
5,80,0.443511452,0.443511452,0.001,32,10
1,90,0.445898114,0.445898114,0.01,128,150
1,100,0.464876688,0.464876688,0.001,256,75
2,90,0.563774983,0.563774983,0.001,256,100
2,100,0.567779477,0.567779477,0.001,128,150
3,90,0.475288773,0.475288773,0.01,256,50
3,100,0.483107695,0.483107695,0.001,128,75
4,90,0.388650189,0.388650189,0.0001,128,150
4,100,0.397665318,0.397665318,0.01,128,100
5,90,0.449755951,0.449755951,0.001,256,150
5,100,0.466062994,0.466062994,0.0001,128,150
1,110,0.471358333,0.471358333,0.001,256,75
1,120,0.483257251,0.483257251,0.01,32,150
2,110,0.576584379,0.576584379,0.01,256,50
2,120,0.580178544,0.580178544,0.0001,64,150
3,110,0.48969604,0.48969604,0.01,256,50
3,120,0.494313298,0.494313298,0.01,64,50
4,110,0.407486055,0.407486055,0.001,128,75
4,120,0.416247998,0.416247998,0.01,128,150
5,110,0.470561127,0.470561127,0.01,128,100
5,120,0.486682865,0.486682865,0.001,128,50
