fold,dim,variance,r2,lr,batch,epochs
1,1,0.19152258280135126,0.19152258280135126,0.0001,128,50
1,6,0.25589843419296676,0.25589843419296676,0.0001,128,75
1,10,0.2907020961745319,0.2907020961745319,0.0001,128,150
1,70,0.5324206646581686,0.5324206646581686,0.0001,64,75
1,2,0.1916633798427434,0.1916633798427434,0.0001,256,75
1,7,0.27045251506923806,0.27045251506923806,0.0001,256,150
1,20,0.396794008398617,0.396794008398617,0.01,32,150
1,80,0.5486557769207703,0.5486557769207703,0.01,128,10
1,3,0.22965517366596133,0.22965517366596133,0.001,256,10
1,8,0.26812303678468885,0.26812303678468885,0.0001,64,100
1,30,0.42351907867654826,0.42351907867654826,0.0001,128,50
1,90,0.5620680936442439,0.5620680936442439,0.0001,64,150
1,4,0.2395970088693532,0.2395970088693532,0.0001,32,10
2,6,0.24418508458716925,0.24418508458716925,0.0001,256,150
1,40,0.46717774461376005,0.46717774461376005,0.001,128,50
1,100,0.5735376272521383,0.5735376272521383,0.001,256,75
2,1,0.174703443249004,0.174703443249004,0.001,256,10
2,7,0.25312834867896594,0.25312834867896594,0.0001,256,100
1,50,0.484630316343983,0.484630316343983,0.0001,128,150
2,2,0.2071388692655337,0.2071388692655337,0.0001,256,50
1,110,0.5803787650603659,0.5803787650603659,0.01,256,150
2,8,0.25492908708288153,0.25492908708288153,0.0001,64,100
2,10,0.2861940792362663,0.2861940792362663,0.0001,128,75
2,3,0.20828410657792018,0.20828410657792018,0.0001,128,75
3,6,0.20493020937895834,0.20493020937895834,0.0001,256,100
1,120,0.5856404386298946,0.5856404386298946,0.01,256,100
2,20,0.37881919592455715,0.37881919592455715,0.0001,32,50
2,4,0.24891591051265938,0.24891591051265938,0.0001,256,75
3,7,0.20846379876968213,0.20846379876968213,0.0001,256,75
2,70,0.508502119156952,0.508502119156952,0.001,256,50
2,30,0.3969056186718777,0.3969056186718777,0.0001,256,150
3,1,0.1063039838228641,0.1063039838228641,0.01,32,150
3,8,0.21562824813859027,0.21562824813859027,0.0001,256,75
2,40,0.4435817420787316,0.4435817420787316,0.001,32,10
2,80,0.5245665776036683,0.5245665776036683,0.001,32,10
3,2,0.13811431047069977,0.13811431047069977,0.0001,256,75
4,6,0.19984470454623515,0.19984470454623515,0.001,256,10
2,50,0.46802987267395224,0.46802987267395224,0.0001,128,100
2,90,0.5319684042899182,0.5319684042899182,0.0001,64,100
3,3,0.1661306661289641,0.1661306661289641,0.001,256,10
4,7,0.20028327414411662,0.20028327414411662,0.0001,256,75
3,10,0.22284934860693406,0.22284934860693406,0.0001,128,100
3,4,0.1755594838718404,0.1755594838718404,0.0001,256,50
2,100,0.5461121688284283,0.5461121688284283,0.0001,64,50
4,8,0.23264384492039714,0.23264384492039714,0.0001,128,50
3,20,0.299877638437021,0.299877638437021,0.01,64,150
4,1,0.1494925638671899,0.1494925638671899,0.0001,256,100
5,6,0.2656911418495087,0.2656911418495087,0.0001,256,150
2,110,0.5533651225513905,0.5533651225513905,0.0001,64,100
3,30,0.322683797097285,0.322683797097285,0.001,32,10
4,2,0.1362873278760509,0.1362873278760509,0.001,128,10
5,7,0.28215503021311916,0.28215503021311916,0.0001,128,50
2,120,0.5606891520688323,0.5606891520688323,0.0001,128,150
3,40,0.35867012690838795,0.35867012690838795,0.01,32,150
4,3,0.1605160784483851,0.1605160784483851,0.0001,32,10
5,8,0.28725157557333947,0.28725157557333947,0.0001,256,100
4,4,0.18738963381894436,0.18738963381894436,0.0001,32,10
3,70,0.40874879625114,0.40874879625114,0.001,256,100
3,50,0.37274896490879883,0.37274896490879883,0.0001,32,75
5,1,0.143707458613488,0.143707458613488,0.0001,32,10
4,10,0.2510289867499468,0.2510289867499468,0.0001,256,100
3,80,0.41696257661089264,0.41696257661089264,0.0001,64,100
5,2,0.20034802527234352,0.20034802527234352,0.0001,256,100
4,20,0.3149685241689525,0.3149685241689525,0.0001,128,100
3,90,0.4299554699626068,0.4299554699626068,0.0001,128,100
5,3,0.2071513609879131,0.2071513609879131,0.0001,256,100
4,30,0.32520037072647623,0.32520037072647623,0.001,256,75
5,4,0.2530885785488104,0.2530885785488104,0.0001,128,50
3,100,0.438784006099581,0.438784006099581,0.0001,64,75
4,40,0.3662045818500359,0.3662045818500359,0.01,64,150
3,110,0.4429812602097415,0.4429812602097415,0.0001,128,150
4,50,0.392245988318098,0.392245988318098,0.0001,256,150
3,120,0.4478505539759854,0.4478505539759854,0.01,128,10
5,10,0.31305549741177296,0.31305549741177296,0.0001,256,100
5,20,0.3863234686802388,0.3863234686802388,0.0001,32,75
4,70,0.42407988092339655,0.42407988092339655,0.001,256,50
5,30,0.4171800602598831,0.4171800602598831,0.0001,256,100
4,80,0.4337949472732777,0.4337949472732777,0.001,256,100
5,40,0.4553118875460147,0.4553118875460147,0.01,32,50
4,90,0.44295976188900055,0.44295976188900055,0.001,128,75
5,50,0.4686515233716698,0.4686515233716698,0.0001,64,75
4,100,0.4516736058310007,0.4516736058310007,0.0001,32,75
4,110,0.45758114010874096,0.45758114010874096,0.01,64,50
4,120,0.46507479225615544,0.46507479225615544,0.0001,64,75
5,70,0.5104555924516554,0.5104555924516554,0.0001,256,150
5,80,0.5197697468740734,0.5197697468740734,0.001,32,10
5,90,0.5321519245827051,0.5321519245827051,0.01,32,150
5,100,0.5480477803203379,0.5480477803203379,0.01,256,150
5,110,0.553449482279208,0.553449482279208,0.01,64,10
5,120,0.564527264599209,0.564527264599209,0.0001,32,50
