co_X_train_ax1,co_X_train_ax2
0.19591238,0.21965319
0.20180242,0.21713859
0.1975908,0.21459979
0.19073457,0.21783322
0.18962158,0.21342547
0.18650685,0.22600804
0.20384817,0.2100047
0.17761025,0.17969772
0.2087962,0.20980467
0.20056443,0.21530284
0.19260122,0.21407712
0.2037984,0.19817178
0.19175151,0.2099364
0.20224078,0.21342522
0.19414277,0.21574733
0.18730956,0.21304956
0.19740696,0.17435813
0.20204896,0.21969962
0.20038861,0.21715459
0.20857766,0.20464604
0.17361397,0.2353491
0.20362738,0.20705281
0.19631009,0.21318264
0.18344606,0.22284056
0.19632143,0.20702603
0.20812437,0.2055653
0.19781382,0.2159981
0.19903398,0.22828533
0.16403109,0.20532984
0.20427349,0.20720217
0.20192818,0.20787711
0.189838,0.2149894
0.19897376,0.21294942
0.19600056,0.20680054
0.20122662,0.20523469
0.1961827,0.21923059
0.19389597,0.22102472
0.20139122,0.22039695
0.19756368,0.21987677
0.20407341,0.20330389
0.20071664,0.21637565
0.19482808,0.2200984
0.1850459,0.17612164
0.18791582,0.216991
0.20564811,0.21419309
0.20003384,0.21632749
0.1778637,0.20743605
0.18509856,0.21639083
0.19005452,0.18664132
0.20720294,0.2105998
0.20557879,0.21083356
0.17525427,0.23641793
0.19107994,0.21842393
0.18986318,0.22746861
0.21247993,0.17930706
0.20915717,0.20481691
0.20362093,0.21556932
0.20740736,0.2006644
0.20348121,0.22220168
0.20144223,0.2139472
0.20189051,0.2100079
0.19676226,0.21780476
0.19212058,0.20596202
0.14559983,0.17519608
0.19139327,0.21697308
0.19628638,0.20199525
0.19195686,0.21271211
0.18915246,0.20909473
0.19053525,0.21868931
0.1960394,0.22000304
0.20627682,0.21032654
0.19031128,0.21999192
0.19111352,0.21871653
0.19568263,0.21171895
0.20104463,0.21022858
0.1982445,0.21803509
0.20421161,0.21555048
0.19610633,0.22010861
0.19513148,0.21546704
0.18069385,0.2116996
0.18972905,0.21595956
0.20448703,0.20778257
0.2016237,0.20391859
0.20147434,0.21533716
0.18576369,0.22394307
0.18796861,0.20062578
0.21112046,0.20299105
0.18866163,0.2182408
0.18331777,0.21990503
0.19852723,0.21933237
0.20130381,0.21779451
0.19562942,0.2106595
0.20713744,0.19581144
0.19731666,0.21701008
0.20060995,0.21460898
0.20135787,0.20443511
0.213389,0.19739701
0.18925363,0.22276837
0.203248,0.19996572
0.19801953,0.22307764
0.19278291,0.22037195
0.19506077,0.21326208
0.20793174,0.19932094
0.1913913,0.2121445
0.19347824,0.21772759
0.19568948,0.19778518
0.20421667,0.21170358
0.20297603,0.20864992
0.20394696,0.22143716
0.20197311,0.20790793
0.20395824,0.20797083
0.1979407,0.19801714
0.19787851,0.21328883
0.20504323,0.20451513
0.20458269,0.20527032
0.1932273,0.22278674
0.20565952,0.1903348
0.20434506,0.21348464
0.2010013,0.21397603
0.20320511,0.20998362
0.21052451,0.20956801
0.1990141,0.21039161
0.20360243,0.21434632
0.20183186,0.22232169
0.20172918,0.19649655
0.18684983,0.21397075
0.20584226,0.2116904
0.19917436,0.21665342
0.18628164,0.20516244
0.2033626,0.20033905
0.20224118,0.21422936
0.18687297,0.21728498
0.1932494,0.2118095
0.19481976,0.20802574
0.21958633,0.20606484
0.20523188,0.21836649
0.20469621,0.21297352
0.19992435,0.22120078
0.20227969,0.2065706
0.17514221,0.21125567
0.20421667,0.21170358
0.16594331,0.17464818
0.18610531,0.2079085
0.21297066,0.19624786
0.1558604,0.20552962
0.20284098,0.2114086
0.19515412,0.19748636
0.20031239,0.20754804
0.21015596,0.18678522
0.19780216,0.2184203
0.1947103,0.19183241
0.2052095,0.2151772
0.18285984,0.2169596
0.20099963,0.21313967
0.2001503,0.2105797
0.18936689,0.21732606
0.2093643,0.1929677
0.21135654,0.20056443
0.19388978,0.21985531
0.20097934,0.21480493
0.19943462,0.21599472
0.19565107,0.22013824
0.20320511,0.20998362
0.2004218,0.20048319
0.20323184,0.21450537
0.19350192,0.21448888
0.17083178,0.17797233
0.19997708,0.21008351
0.1932494,0.2118095
0.2019766,0.20968947
0.19655259,0.21219139
0.20077871,0.21136637
0.19928348,0.22460347
0.2016823,0.21238229
0.2041113,0.21377037
0.20270684,0.21223804
0.18740213,0.22300933
0.19559301,0.21129349
0.19663753,0.20721877
0.19423491,0.22467324
0.1983744,0.21637376
0.19094504,0.23043962
0.19492966,0.21078014
0.20016819,0.21463834
0.20145255,0.19948466
0.19895902,0.21158065
0.19810908,0.2197367
0.20359422,0.21766616
0.2044204,0.20255283
0.20114459,0.21039398
0.2007054,0.21512751
0.19995144,0.21924677
0.20558208,0.20998855
0.20253307,0.21023355
0.20068018,0.21277498
0.18729423,0.22614972
0.15899724,0.18565325
0.2037835,0.21079996
0.17708144,0.20518422
0.20179337,0.2099905
0.20480585,0.21218362
0.19388802,0.21753305
0.20243347,0.21189438
0.21112046,0.20299105
0.2056088,0.2084274
0.20583831,0.20576902
0.20980746,0.20843363
0.20519756,0.20214477
0.19576798,0.21805434
0.20324533,0.19717668
0.19962999,0.21186316
0.20307082,0.20967112
0.20680073,0.20975438
0.10755972,0.21898006
0.19540189,0.19714999
0.19554076,0.21333392
0.21129608,0.20778006
0.20672122,0.20793432
0.16594331,0.17464818
0.1923724,0.20625348
0.19862959,0.21608022
0.19021618,0.1799707
0.19697896,0.21304637
0.2017529,0.21350278
0.19859646,0.208288
0.18705581,0.20735838
0.20027168,0.21318719
0.20555359,0.22238268
0.19231984,0.21587086
0.20018198,0.21318409
0.19691977,0.21654183
0.19760141,0.21504483
0.19634387,0.21530181
0.20610452,0.19934386
0.1855346,0.18307248
0.20142385,0.2020388
0.19178958,0.21158214
0.20223665,0.21743649
0.1993143,0.20625295
0.20296504,0.20940857
0.205817,0.21381874
0.20138258,0.18641345
0.20152453,0.20630127
0.18741849,0.21764961
0.20737293,0.21575475
0.20663844,0.19964567
0.19996004,0.21468994
0.20115587,0.21416436
0.19953728,0.21283929
0.20673427,0.20728382
0.20373449,0.21105058
0.20963116,0.2094465
0.19895586,0.21555634
0.19541304,0.20206904
0.20521656,0.2187663
0.19709535,0.21700889
0.18910833,0.2061813
0.18207963,0.21380457
0.19918063,0.21601759
0.2086239,0.21007831
0.13973404,0.22856945
0.19847071,0.21565962
0.1896913,0.19847956
0.19269352,0.22295007
0.20500402,0.20659496
0.19140235,0.21039757
0.19886062,0.22191791
0.19909385,0.21679564
0.20040846,0.20357534
0.20046544,0.22164121
0.19641063,0.21714906
0.20468889,0.20472649
0.20547484,0.21050866
0.19519424,0.21852109
0.21032761,0.21646085
0.18728994,0.21353085
0.19525057,0.21247707
0.19485037,0.21525675
0.20354253,0.21949051
0.19520882,0.20413634
0.19880289,0.218981
0.16037232,0.21228245
0.119182095,0.21067436
0.1899075,0.21244831
0.18848196,0.19599356
0.19527805,0.21649589
0.20092835,0.21582809
0.20054725,0.21403813
0.19377159,0.22268398
0.19775294,0.21445161
0.21277973,0.1949534
0.20272008,0.21012922
0.19210929,0.21405163
0.19820148,0.20926929
0.20679565,0.19409949
0.20423952,0.2147695
0.19885531,0.20617883
0.15168403,0.15353444
0.20326018,0.19085418
0.19672252,0.2112316
0.19364694,0.18731102
0.19682644,0.21650723
0.17003445,0.18122897
0.20559758,0.2170884
0.20650037,0.21509962
0.19799627,0.20751634
0.19850805,0.21632782
0.17003445,0.18122897
0.20637654,0.21029262
0.20268929,0.21582691
0.1991831,0.2149042
0.20332447,0.20749871
0.19522214,0.22348468
0.2002524,0.21923272
0.20067208,0.20639744
0.18981406,0.21555987
0.19398935,0.20982867
0.19147928,0.20688264
0.18774058,0.20424634
0.20394184,0.20723866
0.18900253,0.21960254
0.17761025,0.17969772
0.19846733,0.2166202
0.19363284,0.1985642
0.19447291,0.1960521
0.19949578,0.22067991
0.20199904,0.20830575
0.1987638,0.21355942
0.19610633,0.22010861
0.18954317,0.21813926
0.19500205,0.21256338
0.20029643,0.20654787
0.19748887,0.21188636
0.19387881,0.21143529
0.19575393,0.20861821
0.20790973,0.21532798
0.19066463,0.19146214
0.19505337,0.2155927
0.20383953,0.20972113
0.18584874,0.19153495
0.204346,0.2090399
0.19461156,0.22435614
0.19062863,0.2129595
0.19579121,0.21590522
0.20023374,0.20961429
0.19136825,0.21928464
0.20658594,0.20934005
0.19739869,0.22354469
0.19194162,0.22006081
0.1919524,0.22420746
0.18455267,0.21385099
0.20123652,0.2124772
0.19604987,0.19647281
0.18816008,0.20625634
0.19290671,0.21041566
0.20405887,0.20693448
0.19036716,0.21695973
0.20185038,0.20790705
0.1925105,0.20049648
0.20725206,0.21437411
0.20259795,0.20539802
0.20366678,0.21236514
0.1919112,0.21935968
0.20825498,0.21120305
0.20521559,0.21101706
0.20284595,0.21499121
0.19994156,0.21737558
0.20597327,0.20940918
0.17325413,0.2216753
0.20468889,0.20472649
0.2095405,0.21716416
0.1942231,0.2069998
0.16284713,0.22168954
0.20122147,0.21307306
0.20521657,0.2187663
0.19856371,0.22218612
0.20514403,0.20486267
0.18915246,0.20909473
0.2027884,0.23378178
0.19667578,0.21319118
0.20778598,0.21495074
0.20601173,0.20315291
0.19073613,0.2104939
0.1659433,0.17464818
0.19977887,0.21470767
0.18286511,0.2256012
0.18854739,0.21736348
0.22192253,0.20008829
0.18307479,0.19699062
0.20479132,0.21097355
0.1925105,0.20049648
0.19064471,0.21194963
0.18839085,0.19420947
0.20610462,0.20608898
0.19740696,0.17435813
0.18806593,0.22155702
0.19187255,0.21903102
0.1948775,0.21151976
0.19663656,0.21002752
0.21040791,0.2076131
0.16379872,0.2124501
0.20668285,0.20368208
0.19984819,0.20226243
0.21476449,0.20916295
0.18848196,0.19599356
0.19514044,0.21607679
0.20685613,0.20690344
0.19615088,0.21520844
0.18944608,0.2151022
0.20748158,0.21546705
0.17177822,0.21571094
