city,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
Chula,0.006520769,-0.008975257,0.010581864,-0.0010018363,0.025317477,0.0063444152,0.004997525,0.015000836,0.00848594,0.0058061196
LittleSturgeon,-0.01583129,-0.008546393,0.010930926,0.011813265,0.010930307,-0.011479286,-0.046862435,-0.022938497,-0.032324154,-0.024814518
Adair,0.017539127,-0.015994126,0.01617402,0.017701253,0.025551157,-0.008345294,0.0034090695,0.016493555,-0.006122471,0.010111422
Hiseville,-0.0051201186,0.003467113,-0.009972844,0.011109152,0.008782455,0.009295713,0.017531006,0.018253257,0.017602134,0.007509145
Halliday,-0.01388666,-0.03089289,0.025840782,-0.009989136,-0.015162039,-0.011822204,-0.018108878,0.015234796,0.0014462869,-0.0072581936
VanWert,0.013480377,-0.0203765,0.009766207,0.0043519977,0.031818382,0.010720127,0.007235045,0.019560315,0.017365392,0.015174491
Kenilworth,-0.008902428,-0.008115146,0.006366542,-0.02092811,-0.005236026,-0.0015933238,-0.004589143,0.014308487,0.0047688675,-0.017453082
Edgerton,0.0028450903,-0.017871618,0.029078867,-0.016724959,-0.021041483,0.006792324,-0.007716505,0.008428032,0.0052820025,-0.010409533
Chupadero,-0.018740188,-0.005814258,0.0019592615,-0.01865173,0.006236237,0.0021278712,-0.0021267163,0.012060643,-0.015156115,-0.0054839663
Storden,0.017894642,-0.042901672,0.0130478935,0.0072077247,0.014474419,0.015045695,-0.009174364,0.01425565,0.018742137,0.012094266
Reevesville,-0.02462112,-0.0036116864,-0.014575008,0.009757826,-0.009488327,0.002104927,0.00073386333,0.014214607,-0.00016775727,0.00048199287
Spurgeon,-0.00034752302,0.0034570799,0.002131723,0.024406577,0.02360336,0.0048427237,0.0061706607,0.017101297,-0.0063507,0.0022946515
Clutier,0.048639335,-0.02825627,-0.0038440854,0.024232486,0.040822316,0.011338728,-0.0023468707,0.02103826,0.016094994,0.03978645
KarnsCity,-0.017918587,0.0063080643,0.0127307065,0.022900647,0.012647315,-0.0065509034,0.023733372,-0.020499725,-0.0033187405,-0.04526441
Smolan,-0.0011553405,-0.011825066,0.014908138,-0.012641181,0.00437396,0.0010570731,-0.009118695,0.02164775,0.010447299,0.014199123
Moorhead,0.02418967,-0.033402845,0.014111726,0.0064783487,0.02785357,0.017734265,0.0031641885,0.016367251,0.02627115,0.028825665
Pennington,-0.019743497,-0.002902884,-0.014537058,-0.010807423,0.0045244694,0.025091454,0.00979332,0.013943183,0.008158465,0.018789105
GoldHill,-0.019607753,-0.014471956,0.028922105,-0.015272656,-0.036762327,0.019363748,-0.016145809,0.007387433,-0.017150493,-0.013503577
Belk,-0.01898824,0.0012037365,-0.017822536,-0.0070191054,0.0035409012,0.018966643,0.010229545,0.014827161,0.015226846,0.014386233
Madison,-0.012389788,-0.0028749406,-0.044922538,0.019271106,-0.004936522,0.028071748,-0.0064939843,-0.029524582,0.009856992,-0.030281179
Halifax,-0.011726634,-0.0046096942,-0.019838795,0.010507072,0.00013172068,0.02204453,0.022061275,-0.006786214,0.014358851,-0.022655234
Acampo,0.01221956,0.035207722,0.005635145,-0.026688421,0.008671956,-0.041495293,-0.0003767917,0.02562186,0.061897885,-0.02900839
BelleMead,0.039518606,0.038094196,0.01942269,-0.02537682,0.012237003,0.060546678,0.09687937,-0.11934192,0.026162699,0.004468329
Canadian,-0.006960638,-0.008560283,0.0016449786,-0.024676409,0.0016657414,0.01746933,0.01794468,0.010116716,0.004747098,0.013656059
Froid,-0.014313073,-0.029306306,0.031201312,-0.0131180305,-0.014535183,-0.009798543,-0.020571833,0.01351454,-0.0009031814,-0.0105623575
Buncombe,0.005446792,-0.0018500076,-0.0024245032,0.008251032,0.014167604,0.005977283,-2.3924746e-05,0.019280028,0.0030887958,0.012991369
Frederika,0.045432225,-0.029858803,-0.0057827327,0.025927268,0.04163398,0.0059979837,-0.013099061,0.016708419,0.007090777,0.03479993
Cameron,-0.0342021,-0.0040805293,-0.0048220563,-0.022724776,-0.0006315502,0.014417412,-0.0005422615,0.009125722,-0.020267155,0.030186638
Black,-0.030761003,-0.0011064647,-0.011743995,-0.0020871132,-0.00901912,0.005833749,-0.009509011,0.009434869,-0.008954639,0.016941933
Standard,0.037160084,-0.02354733,0.009032294,0.038454857,0.03431276,-0.016999917,-0.006617881,0.018893307,-0.010460725,0.02546985
Goree,-0.021990692,0.0024593002,0.008348132,-0.019040352,0.005234849,0.0126219345,0.009748777,0.0048822677,-0.021237295,0.022484206
HayesCenter,-0.0045658103,-0.027029583,0.017743766,-0.0034544384,-0.0043228185,0.009375289,-0.009936006,0.014241892,0.00881631,0.0093217585
Tuscumbia,0.005854297,-0.013296798,0.009428252,-0.012863822,0.009650044,0.008558153,0.0042694346,0.017649386,0.010379968,0.005165661
Wellman,-0.029335018,0.006306645,0.00012003258,-0.020335551,0.0012351677,0.01576425,-0.0015651244,0.0067580794,-0.02216382,0.010270528
BigIsland,-0.0063969325,-0.0064301863,-0.00072756014,-0.0014345709,0.0032812033,0.021532629,0.029713353,-0.007193955,0.020892603,-0.03582985
Lunenburg,-0.008882205,-0.010387649,-0.014073591,0.0020924234,0.004168981,0.028263766,0.027863692,-0.0095031075,0.016625337,-0.028423868
YeehawJunction,-0.035883535,-0.0047186855,0.0068217013,-0.009961234,-0.025217248,-0.021950493,-0.01514165,0.0051400843,-0.028361576,0.014413852
CollegeSprings,0.015161578,-0.023408735,0.016065305,-0.0023991677,0.02888995,0.013352698,-0.0013948306,0.021030068,0.016162798,0.020978348
Brinson,-0.032233734,-0.00019355491,-0.01246867,-0.002361919,-0.012825718,-0.002499452,-0.016215708,0.01261263,-0.014993437,0.014112436
FallingSpring,-0.01646893,-0.012114869,0.008439417,-0.0014315442,-0.00037839077,0.017512806,0.032251116,-0.0020415448,0.016437555,-0.025008023
