city,dim_1,dim_2,dim_3
Chula,0.0074045234,0.005916928,0.022752145
LittleSturgeon,0.0066186627,0.028410422,-0.012526469
Adair,0.021689812,0.015368949,0.028345196
Hiseville,0.00036728755,0.0110664,0.022020098
Halliday,-0.018270742,0.032751225,0.0256915
VanWert,0.018136619,0.0070939357,0.032384325
Kenilworth,-0.020600373,0.0056022783,0.0147676775
Edgerton,-0.023331214,0.027549176,0.013331489
Chupadero,-0.018351885,0.01785303,0.0154805165
Storden,0.020255128,0.023979295,0.03330314
Reevesville,-0.011994542,0.02968749,0.019143632
Spurgeon,0.011152118,0.020916918,0.023441248
Clutier,0.04657343,0.0030613816,0.040495355
KarnsCity,0.014431112,0.009850563,-0.0197089
Smolan,-0.0139004495,0.017233491,0.028764514
Moorhead,0.024675274,0.0159466,0.034346446
Pennington,-0.015308294,0.024851091,0.020086095
GoldHill,-0.040427286,0.060106926,0.011445804
Belk,-0.014008843,0.016804602,0.018648613
Madison,0.016216218,0.011014365,-0.02568947
Halifax,0.0063658548,0.012295021,-0.0035232345
Acampo,-0.025617156,-0.07212264,0.0080303755
BelleMead,0.035103094,-0.01858936,-0.12909986
Canadian,-0.01547798,0.014915828,0.014193802
Froid,-0.020771192,0.03402404,0.022655293
Buncombe,0.0028101401,0.014782289,0.024752654
Frederika,0.047088727,0.004237656,0.03635616
Cameron,-0.026196573,0.040909477,0.01687505
Black,-0.020764643,0.037901063,0.015135515
Standard,0.045451246,0.014806885,0.03608753
Goree,-0.02097369,0.03535656,0.00938798
HayesCenter,-0.0084215915,0.035489313,0.026777476
Tuscumbia,-0.0050510163,0.008179981,0.024265897
Wellman,-0.028362155,0.033866074,0.009118289
BigIsland,0.0031077266,0.0027503818,-0.0060485625
Lunenburg,0.008855438,0.008864654,-0.0049581006
YeehawJunction,-0.032264896,0.045201126,0.010684812
CollegeSprings,0.012232869,0.012314932,0.035465427
Brinson,-0.024511244,0.03744606,0.016958078
FallingSpring,-0.0025221817,0.017171213,0.001790214
Gary,-0.004596892,0.011943068,0.031092577
Vermilion,0.020777209,0.02370828,0.02820525
GuideRock,-0.0014300466,0.029112566,0.031298965
Nauvoo,-0.012794136,0.019913953,0.016768323
Braman,-0.0027974956,0.019264184,0.022835668
Industry,0.068880305,-0.175824,0.036036022
HaywoodCity,0.0030906955,0.025628516,0.029938655
BluewaterAcres,-0.038609218,0.029746031,0.010631729
YellowBluff,-0.016278118,0.030406304,0.0154023785
EggHarbor,-0.0023093608,0.0380824,-0.017427502
Tappen,-0.012963795,0.025317837,0.028237345
Matoaka,-0.005061363,0.021607304,0.00586307
Koliganek,-0.026705153,0.03917703,0.012052678
Surrency,-0.020470953,0.035133757,0.017818617
TrailSide,-0.018725054,-0.00064100313,0.03615335
DeSmet,-0.031922605,0.022235533,0.018886788
