city,state,country,dim_1,dim_2
Chula,MO,US,0.21814266,0.17326055
LittleSturgeon,WI,US,0.21740039,0.109880805
Adair,IL,US,0.23442847,0.15302297
Hiseville,KY,US,0.2561032,0.17442402
Halliday,ND,US,0.19222176,0.16001791
VanWert,IA,US,0.20906875,0.17298499
Kenilworth,UT,US,0.18662532,0.13861777
Edgerton,WY,US,0.17728095,0.1947963
Chupadero,NM,US,0.16088603,0.18490574
Storden,MN,US,0.20374574,0.1520666
Reevesville,SC,US,0.2021418,0.070079595
Spurgeon,IN,US,0.2630345,0.13607165
Clutier,IA,US,0.20998953,0.14069922
KarnsCity,PA,US,0.27317163,0.09688579
Smolan,KS,US,0.19831152,0.19709212
Moorhead,IA,US,0.21491864,0.15120584
Pennington,AL,US,0.19910726,0.14115943
GoldHill,CO,US,0.17779388,0.1931357
Belk,AL,US,0.2001528,0.17428176
Madison,MD,US,0.24508218,0.031142721
Halifax,NC,US,0.2722772,0.08295577
Acampo,CA,US,0.21419436,-0.087638594
BelleMead,NJ,US,0.24096094,-0.04465338
Canadian,OK,US,0.17627576,0.23834209
Froid,MT,US,0.19669293,0.1440477
Buncombe,IL,US,0.23655492,0.17664284
Frederika,IA,US,0.21302435,0.1377925
Cameron,LA,US,0.15544198,0.16281483
Black,AL,US,0.20503712,0.09512618
Standard,IL,US,0.23138547,0.12170183
Goree,TX,US,0.15630051,0.24419202
HayesCenter,NE,US,0.17642076,0.20221318
Tuscumbia,MO,US,0.21395862,0.23517098
Wellman,TX,US,0.15910564,0.22238515
BigIsland,VA,US,0.2514204,0.13540462
Lunenburg,VA,US,0.25357342,0.10027188
YeehawJunction,FL,US,0.1819152,0.09653584
CollegeSprings,IA,US,0.2093547,0.17960677
Brinson,GA,US,0.18833412,0.08256486
FallingSpring,WV,US,0.238814,0.14472191
Gary,MN,US,0.20729311,0.14044657
Vermilion,IL,US,0.25755486,0.15173906
GuideRock,NE,US,0.18262717,0.19024901
Nauvoo,AL,US,0.19527635,0.15948033
Braman,OK,US,0.20346773,0.19748871
Industry,CA,US,0.18615112,-0.0887477
HaywoodCity,MO,US,0.2425554,0.16940042
BluewaterAcres,NM,US,0.18314132,0.13878861
YellowBluff,AL,US,0.20185937,0.122788295
EggHarbor,WI,US,0.21993761,0.112293005
Tappen,ND,US,0.19464967,0.14928699
Matoaka,WV,US,0.2323567,0.14386007
Koliganek,AK,US,0.19627407,0.1804409
Surrency,GA,US,0.18812835,0.07877698
TrailSide,CO,US,0.17309472,0.18243212
DeSmet,ID,US,0.19377708,0.16072461
PineVillage,IN,US,0.24832,0.13393675
Seaton,IL,US,0.22185752,0.13792977
SanJon,NM,US,0.17147532,0.17819966
St.Johns,OH,US,0.26438934,0.111229874
Garland,WY,US,0.1838547,0.15559006
Highwood,MT,US,0.17745465,0.17975117
WhiteMountain,AK,US,0.16460362,0.18788669
Barnett,MO,US,0.21371956,0.23119898
Glendo,WY,US,0.1707848,0.18950562
Bulpitt,IL,US,0.2366477,0.13787033
Hanston,KS,US,0.17454192,0.20842142
Rollins,MT,US,0.17768024,0.1733151
Chugwater,WY,US,0.17347209,0.19852571
Haviland,OH,US,0.25524694,0.104374394
Hull,GA,US,0.23318091,0.13463944
Alvord,IA,US,0.21313882,0.1443644
Stoutland,MO,US,0.21236527,0.23768434
Grantville,KS,US,0.20525591,0.19964567
Samburg,TN,US,0.23503911,0.16791862
Keensburg,IL,US,0.2657591,0.14092644
DesLacs,ND,US,0.18789671,0.15253271
SouthSalem,OH,US,0.27569187,0.12588541
Nathalie,VA,US,0.25189623,0.12166225
Tenstrike,MN,US,0.2057991,0.14781119
Tokeland,WA,US,0.16103293,0.14789875
Sellers,SC,US,0.22205745,0.07709801
Mosby,MO,US,0.22655529,0.17970039
Oakdale,IL,US,0.2505898,0.14090325
Torreon,NM,US,0.16970581,0.17946637
Blairsburg,IA,US,0.1944144,0.14791194
Barkeyville,PA,US,0.26571324,0.097930506
Parkersburg,IL,US,0.26478115,0.14012796
Hallwood,VA,US,0.23038185,0.06909891
Westcreek,CO,US,0.1766973,0.19832812
Amasa,MI,US,0.21515936,0.13777258
Jacksonport,AR,US,0.21212679,0.19537984
Lyden,NM,US,0.16726013,0.18499213
Phillipsburg,MO,US,0.20908341,0.23346971
Macy,IN,US,0.259073,0.11311763
Lewellen,NE,US,0.17011446,0.19818407
Autryville,NC,US,0.2458697,0.069795296
Belspring,VA,US,0.24107577,0.15338
Butters,NC,US,0.22911985,0.07769038
BlodgettMills,NY,US,0.21790898,0.11516815
Edenborn,PA,US,0.26676658,0.10439776
HancocksBridge,NJ,US,0.24761589,-0.026989143
Grayling,AK,US,0.17809789,0.20062737
Kellyton,AL,US,0.21422869,0.14962056
Independence,UT,US,0.18628733,0.17340633
Peterson,MN,US,0.20456769,0.13093373
Thompsonville,TX,US,0.14865863,0.24803202
Fordville,ND,US,0.21110071,0.13492
Goodlow,TX,US,0.15287831,0.25248426
SilverCreek,MS,US,0.16641626,0.1700922
Jeff,KY,US,0.23822449,0.15776072
Westgate,IA,US,0.21303031,0.13890244
Aucilla,FL,US,0.18524888,0.10451419
Batchtown,IL,US,0.23759674,0.16357118
Cañon,NM,US,0.17150535,0.16446921
Ellsworth,IL,US,0.23482664,0.13093604
Loachapoka,AL,US,0.22206162,0.114609264
Bienville,LA,US,0.14741991,0.22590789
NorthRobinson,OH,US,0.26914674,0.1017677
Ewing,VA,US,0.23162109,0.147776
Taylorsville,CA,US,0.18419287,0.14714709
BayCenter,WA,US,0.17425276,0.14238371
Petrolia,PA,US,0.27317163,0.09688579
Trenton,SC,US,0.21632273,0.09663272
NewEdinburg,AR,US,0.1872597,0.21328603
PaintRock,AL,US,0.21764693,0.14900993
Pittsburg,OK,US,0.17608339,0.24528432
MillShoals,IL,US,0.25286978,0.1441737
Broaddus,TX,US,0.14770252,0.2468259
FishingCreek,MD,US,0.23805736,0.044008154
Vaughnsville,OH,US,0.2625003,0.10211754
CoffeeCreek,CA,US,0.1817159,0.14715019
O'Kean,AR,US,0.22664838,0.18736385
Altona,IN,US,0.25246096,0.109925315
Harrells,NC,US,0.2408412,0.08125071
GardenGrove,IA,US,0.20511024,0.17256656
Lilly,GA,US,0.20429389,0.0666271
Scotia,SC,US,0.19636843,0.07577284
Blencoe,IA,US,0.21955393,0.14726327
Providence,AL,US,0.19990535,0.14348418
GlenJean,WV,US,0.23717248,0.1530854
BearValley,CA,US,0.1905496,0.049372926
MeireGrove,MN,US,0.211743,0.13614385
SugarMountain,NC,US,0.21597019,0.16745965
Tyro,KS,US,0.20248245,0.21945187
PecanGap,TX,US,0.17733233,0.23998232
PineGlen,PA,US,0.26078302,0.08443567
Raemon,NC,US,0.2268093,0.07059306
SummitStation,PA,US,0.2330313,0.038935136
NewtonHamilton,PA,US,0.25723377,0.08565927
MountCory,OH,US,0.2576116,0.102759846
Spillertown,IL,US,0.24343507,0.15501156
Eureka,NC,US,0.25990373,0.07611277
Trumbull,NE,US,0.17902492,0.18945676
RadarBase,TX,US,0.1389192,0.22503571
Volga,IA,US,0.21145673,0.13441886
Zanesfield,OH,US,0.27265665,0.11818163
Plessis,NY,US,0.22610374,0.07303172
Sugartown,LA,US,0.1527456,0.19993666
Edwardsville,AL,US,0.2222883,0.14085583
Baylis,IL,US,0.22675623,0.15109268
GlenviewManor,KY,US,0.2797568,0.14020388
Hancock,IA,US,0.21848461,0.15200958
Peck,ID,US,0.181073,0.14282206
Marklesburg,PA,US,0.27019006,0.07246284
Donnellson,IL,US,0.24334748,0.13131922
Burket,IN,US,0.2569782,0.10859991
Shumway,IL,US,0.25099924,0.13686977
Okabena,MN,US,0.20912935,0.14755788
EdgarSprings,MO,US,0.21989535,0.22304061
NeckCity,MO,US,0.19709566,0.23919606
Hendersonville,PA,US,0.28180647,0.07739153
CerroGordo,NC,US,0.22269705,0.085505545
Cokesbury,SC,US,0.23397253,0.11853566
Norwood,MI,US,0.22546074,0.13071705
Scraper,OK,US,0.17132744,0.24846482
Winifred,MT,US,0.18291306,0.17961115
Munich,ND,US,0.20707802,0.13365915
Newtonia,MO,US,0.17920615,0.24714896
Epworth,GA,US,0.22218221,0.15662849
Jonesville,IN,US,0.255244,0.16435218
Woodburn,IA,US,0.20182428,0.1708967
Rembrandt,IA,US,0.21346354,0.1472982
OpdykeWest,TX,US,0.15584189,0.22152148
Ruthville,ND,US,0.18877944,0.14826329
Rosewood,OH,US,0.2724888,0.12028082
Holbrook,NE,US,0.17643297,0.18716428
PortWing,WI,US,0.21005657,0.14035933
Woodside,DE,US,0.23817097,0.03444025
Poneto,IN,US,0.26369104,0.1182636
Munjor,KS,US,0.17122655,0.19902407
MissionWoods,KS,US,0.22116955,0.18130223
Hortonville,NY,US,0.22140013,0.1249161
Hollis,AK,US,0.17366947,0.20205577
Lincolnville,KS,US,0.19813187,0.20032042
SouthHaven,MN,US,0.21240216,0.12467869
Tipton,KS,US,0.1785524,0.20172477
Homer,MN,US,0.21219258,0.13417743
Lowrys,SC,US,0.23513007,0.11291889
Yolo,CA,US,0.20459747,-0.0037474453
Inger,MN,US,0.20373863,0.1452799
TontoVillage,AZ,US,0.18555355,0.1396992
Mellott,IN,US,0.24838881,0.13899751
Okahumpka,FL,US,0.18583733,0.07797137
Onslow,IA,US,0.21804719,0.12803057
Gilbertown,AL,US,0.18836224,0.17107828
