city,state,country,dim_1,dim_2,dim_3
Chula,MO,US,-0.07640913,0.22446784,-0.328275
LittleSturgeon,WI,US,-0.017232658,0.21478413,-0.29551193
Adair,IL,US,-0.07798302,0.2180228,-0.3188435
Hiseville,KY,US,-0.08745145,0.27062488,-0.25788638
Halliday,ND,US,-0.08366547,0.17104258,-0.27941665
VanWert,IA,US,-0.078301705,0.20741878,-0.32466534
Kenilworth,UT,US,-0.06880543,0.16939193,-0.25410172
Edgerton,WY,US,-0.1228929,0.20604348,-0.25763285
Chupadero,NM,US,-0.11306009,0.18073483,-0.26827022
Storden,MN,US,-0.06391047,0.18853737,-0.30724525
Reevesville,SC,US,0.016386168,0.19104289,-0.18720326
Spurgeon,IN,US,-0.050177768,0.25767258,-0.28405464
Clutier,IA,US,-0.051464483,0.19452181,-0.3134483
KarnsCity,PA,US,0.004305551,0.3277809,-0.2800699
Smolan,KS,US,-0.1152067,0.18272874,-0.30138263
Moorhead,IA,US,-0.062296607,0.18935274,-0.3131748
Pennington,AL,US,-0.07610178,0.23172115,-0.1594132
GoldHill,CO,US,-0.12190278,0.19005592,-0.2722514
Belk,AL,US,-0.10099793,0.23086907,-0.17190352
Madison,MD,US,0.0709459,0.24758467,-0.21312338
Halifax,NC,US,0.025878033,0.2758651,-0.21530463
Acampo,CA,US,0.21652116,0.041840177,-0.23554745
BelleMead,NJ,US,0.14780393,0.2904857,-0.18723498
Canadian,OK,US,-0.18714908,0.21124347,-0.27114373
Froid,MT,US,-0.07294706,0.16864495,-0.283196
Buncombe,IL,US,-0.085707515,0.24746953,-0.27249762
Frederika,IA,US,-0.039968573,0.18661973,-0.31214163
Cameron,LA,US,-0.09999305,0.2080181,-0.16555938
Black,AL,US,-0.009099166,0.20113462,-0.14657384
Standard,IL,US,-0.025146823,0.2065759,-0.3153053
Goree,TX,US,-0.18827918,0.18341582,-0.26322246
HayesCenter,NE,US,-0.12754986,0.18160291,-0.2964178
Tuscumbia,MO,US,-0.16515549,0.2437896,-0.3014714
Wellman,TX,US,-0.14439243,0.18341672,-0.27362934
BigIsland,VA,US,-0.04159705,0.34197608,-0.23747809
Lunenburg,VA,US,-0.004565397,0.3103524,-0.21991561
YeehawJunction,FL,US,-0.015047121,0.21114302,-0.17094573
CollegeSprings,IA,US,-0.0773581,0.19596004,-0.33002296
Brinson,GA,US,0.006059784,0.17748438,-0.15016063
FallingSpring,WV,US,-0.056829765,0.30057803,-0.25189194
Gary,MN,US,-0.04104569,0.17526732,-0.2904696
Vermilion,IL,US,-0.055050697,0.24974284,-0.30577058
GuideRock,NE,US,-0.116068445,0.17962748,-0.30600244
Nauvoo,AL,US,-0.07548064,0.23775612,-0.16434844
Braman,OK,US,-0.1290809,0.18711565,-0.2950462
Industry,CA,US,0.21283638,-0.011392431,-0.26130238
HaywoodCity,MO,US,-0.08017127,0.2331046,-0.2605473
BluewaterAcres,NM,US,-0.05935139,0.15801501,-0.264558
YellowBluff,AL,US,-0.056403015,0.22427021,-0.1412965
EggHarbor,WI,US,-0.024184616,0.21590813,-0.28339562
Tappen,ND,US,-0.070115924,0.1752982,-0.2791725
Matoaka,WV,US,-0.060843,0.27713305,-0.2372855
Koliganek,AK,US,-0.09966175,0.20521778,-0.2884705
Surrency,GA,US,0.0044374247,0.17828949,-0.15527602
TrailSide,CO,US,-0.087839045,0.16074444,-0.2868064
DeSmet,ID,US,-0.07789324,0.16425505,-0.2887038
PineVillage,IN,US,-0.036515955,0.23406585,-0.2988256
Seaton,IL,US,-0.046725858,0.19886234,-0.3223325
SanJon,NM,US,-0.100869365,0.17724693,-0.2651584
St.Johns,OH,US,-0.007160308,0.26622757,-0.28787178
Garland,WY,US,-0.07648517,0.16724175,-0.27955145
Highwood,MT,US,-0.11031423,0.18527476,-0.26364654
WhiteMountain,AK,US,-0.11242567,0.20742139,-0.2733077
Barnett,MO,US,-0.16209872,0.24352726,-0.30732897
Glendo,WY,US,-0.12781444,0.18491912,-0.26444143
Bulpitt,IL,US,-0.054942474,0.23221755,-0.30345076
Hanston,KS,US,-0.13738206,0.17678703,-0.29496583
Rollins,MT,US,-0.108689845,0.15616597,-0.29401663
Chugwater,WY,US,-0.13436924,0.19354123,-0.26115388
Haviland,OH,US,-0.00046586237,0.25761312,-0.29064414
Hull,GA,US,-0.055060703,0.23483793,-0.17204213
Alvord,IA,US,-0.054293383,0.18032138,-0.3039876
Stoutland,MO,US,-0.16440253,0.23574474,-0.2936045
Grantville,KS,US,-0.11026788,0.1981748,-0.31673244
Samburg,TN,US,-0.0869516,0.21157959,-0.24559925
Keensburg,IL,US,-0.05324244,0.24576558,-0.28282735
DesLacs,ND,US,-0.07189961,0.16344199,-0.282875
SouthSalem,OH,US,-0.024819987,0.29111543,-0.28337505
Nathalie,VA,US,-0.025228906,0.32760528,-0.23679574
Tenstrike,MN,US,-0.050016485,0.19168046,-0.29259074
Tokeland,WA,US,-0.07186728,0.15609463,-0.27191564
Sellers,SC,US,0.019510902,0.2145678,-0.18781967
Mosby,MO,US,-0.08278092,0.21165489,-0.3381017
Oakdale,IL,US,-0.047386944,0.24341275,-0.28866088
Torreon,NM,US,-0.110337764,0.17429185,-0.26645234
Blairsburg,IA,US,-0.05476519,0.18055405,-0.31498232
Barkeyville,PA,US,0.009949129,0.31477395,-0.27846062
Parkersburg,IL,US,-0.052036136,0.24407741,-0.2889866
Hallwood,VA,US,0.033398867,0.2268641,-0.22666557
Westcreek,CO,US,-0.10938042,0.16406976,-0.27807114
Amasa,MI,US,-0.056112904,0.22520745,-0.2919159
Jacksonport,AR,US,-0.11323212,0.19601297,-0.2381089
Lyden,NM,US,-0.112140305,0.1776754,-0.2712935
Phillipsburg,MO,US,-0.16033798,0.22855364,-0.29099956
Macy,IN,US,-0.011300377,0.24123555,-0.29121035
Lewellen,NE,US,-0.1365613,0.17757341,-0.29308668
Autryville,NC,US,0.015142243,0.23757844,-0.20278509
Belspring,VA,US,-0.06800753,0.30907542,-0.25671253
Butters,NC,US,0.0073660105,0.23116265,-0.20291415
BlodgettMills,NY,US,-0.024131404,0.26752916,-0.25531518
Edenborn,PA,US,-0.023604909,0.3182056,-0.26404476
HancocksBridge,NJ,US,0.1275157,0.25784,-0.21105598
Grayling,AK,US,-0.11554828,0.22259082,-0.27913818
Kellyton,AL,US,-0.07746293,0.22805978,-0.14790839
Independence,UT,US,-0.10500542,0.18935186,-0.25717816
Peterson,MN,US,-0.04272762,0.18816417,-0.3172153
Thompsonville,TX,US,-0.20688193,0.23397142,-0.21149765
Fordville,ND,US,-0.05080681,0.16340484,-0.29351547
Goodlow,TX,US,-0.19838268,0.21538956,-0.20933947
SilverCreek,MS,US,-0.10158226,0.22458152,-0.15119988
Jeff,KY,US,-0.07514241,0.28320634,-0.22759922
Westgate,IA,US,-0.04174008,0.1904237,-0.3109701
Aucilla,FL,US,-0.01938112,0.18587793,-0.15205613
Batchtown,IL,US,-0.07651269,0.22395982,-0.31128052
Cañon,NM,US,-0.08933675,0.17261292,-0.26447707
Ellsworth,IL,US,-0.03811733,0.22808743,-0.30633616
Loachapoka,AL,US,-0.042007457,0.21346878,-0.13106641
Bienville,LA,US,-0.16807932,0.21286337,-0.16782025
NorthRobinson,OH,US,-0.0008359381,0.27917904,-0.29407036
Ewing,VA,US,-0.07063443,0.27474108,-0.22924505
Taylorsville,CA,US,-0.057190526,0.18094783,-0.26772183
BayCenter,WA,US,-0.066406064,0.16645837,-0.27581924
Petrolia,PA,US,0.004305551,0.3277809,-0.2800699
Trenton,SC,US,-0.00060265866,0.20722854,-0.18041933
NewEdinburg,AR,US,-0.15064251,0.20767155,-0.20308444
PaintRock,AL,US,-0.07662354,0.2432646,-0.16725178
Pittsburg,OK,US,-0.19144058,0.21543862,-0.26697597
MillShoals,IL,US,-0.056005128,0.24255894,-0.28773987
Broaddus,TX,US,-0.19805935,0.22478455,-0.15742446
FishingCreek,MD,US,0.054747723,0.25225925,-0.21552496
Vaughnsville,OH,US,-0.006118705,0.26661777,-0.29206464
CoffeeCreek,CA,US,-0.053073432,0.1910965,-0.25566503
O'Kean,AR,US,-0.11020449,0.21556506,-0.24437375
Altona,IN,US,-0.012208172,0.2570629,-0.29014817
Harrells,NC,US,0.00019142963,0.24756142,-0.20972069
GardenGrove,IA,US,-0.07735843,0.20912132,-0.32380283
Lilly,GA,US,0.015343589,0.16995129,-0.14659594
Scotia,SC,US,0.0045885257,0.18220145,-0.17160408
Blencoe,IA,US,-0.06168383,0.18276459,-0.3173018
Providence,AL,US,-0.07107861,0.23044708,-0.15593648
GlenJean,WV,US,-0.06486569,0.29695946,-0.24357966
BearValley,CA,US,0.06067289,0.13254537,-0.2501261
MeireGrove,MN,US,-0.038320985,0.18238877,-0.31212813
SugarMountain,NC,US,-0.09101037,0.26892835,-0.21716514
Tyro,KS,US,-0.14378805,0.19153193,-0.30002818
PecanGap,TX,US,-0.18417394,0.21196477,-0.24291453
PineGlen,PA,US,0.019301143,0.31674024,-0.259877
Raemon,NC,US,0.01851107,0.21696988,-0.19618928
SummitStation,PA,US,0.049727257,0.29788274,-0.21834883
NewtonHamilton,PA,US,0.012735129,0.33281368,-0.25336027
MountCory,OH,US,-0.0038163788,0.26497644,-0.28993365
Spillertown,IL,US,-0.05990834,0.24412072,-0.28058016
Eureka,NC,US,0.017357675,0.2533639,-0.20648824
Trumbull,NE,US,-0.111355275,0.18607035,-0.309731
RadarBase,TX,US,-0.17910339,0.20747633,-0.21992484
Volga,IA,US,-0.0404191,0.18907937,-0.311739
Zanesfield,OH,US,-0.00560361,0.28337225,-0.28835073
Plessis,NY,US,0.012947819,0.23648734,-0.267942
Sugartown,LA,US,-0.13864987,0.21966156,-0.14915048
Edwardsville,AL,US,-0.07497794,0.22048661,-0.15117827
Baylis,IL,US,-0.06764975,0.21540399,-0.30911708
GlenviewManor,KY,US,-0.050613616,0.26783237,-0.29786775
Hancock,IA,US,-0.051795594,0.19164959,-0.31878984
Peck,ID,US,-0.069829725,0.15343298,-0.2900011
Marklesburg,PA,US,0.025751045,0.33930755,-0.2587779
Donnellson,IL,US,-0.04343199,0.22997408,-0.29750705
Burket,IN,US,-0.006322588,0.2424062,-0.2872075
Shumway,IL,US,-0.043975156,0.23377389,-0.29466692
Okabena,MN,US,-0.06275607,0.18581215,-0.30727473
EdgarSprings,MO,US,-0.14676872,0.24882285,-0.28776234
NeckCity,MO,US,-0.16944183,0.20972526,-0.29606086
Hendersonville,PA,US,0.018823283,0.33756915,-0.26951241
CerroGordo,NC,US,0.008079377,0.22641587,-0.20062996
Cokesbury,SC,US,-0.020807786,0.23222226,-0.18279502
Norwood,MI,US,-0.039418228,0.23369242,-0.30012637
Scraper,OK,US,-0.19035904,0.22057647,-0.26618475
Winifred,MT,US,-0.10008936,0.17553516,-0.28042272
Munich,ND,US,-0.05771772,0.1692572,-0.27903777
Newtonia,MO,US,-0.19114679,0.21523188,-0.280614
Epworth,GA,US,-0.083975546,0.25679025,-0.1803174
Jonesville,IN,US,-0.064326786,0.26313755,-0.29056728
Woodburn,IA,US,-0.073022224,0.20531909,-0.32342738
Rembrandt,IA,US,-0.05847419,0.18247756,-0.31248218
OpdykeWest,TX,US,-0.1452557,0.18009746,-0.27460384
Ruthville,ND,US,-0.06711819,0.15609384,-0.28753462
Rosewood,OH,US,-0.01316638,0.2801898,-0.28759193
Holbrook,NE,US,-0.11507822,0.17747712,-0.304705
PortWing,WI,US,-0.05735782,0.21091838,-0.30720103
Woodside,DE,US,0.06541561,0.26080602,-0.21548313
Poneto,IN,US,-0.01485759,0.254253,-0.29309654
Munjor,KS,US,-0.13248014,0.17621133,-0.30007282
MissionWoods,KS,US,-0.082295574,0.20452149,-0.3311842
Hortonville,NY,US,-0.036205903,0.28523085,-0.23891197
Hollis,AK,US,-0.13249864,0.19937602,-0.29100335
Lincolnville,KS,US,-0.13023035,0.19359769,-0.2988853
SouthHaven,MN,US,-0.030970965,0.18591443,-0.31632292
Tipton,KS,US,-0.1245029,0.17750107,-0.30714792
Homer,MN,US,-0.04232213,0.1943729,-0.32656685
Lowrys,SC,US,-0.028422426,0.24660878,-0.18801747
Yolo,CA,US,0.14594887,0.09736597,-0.23291637
Inger,MN,US,-0.050919212,0.19914739,-0.3008031
TontoVillage,AZ,US,-0.044235803,0.16475612,-0.26103398
Mellott,IN,US,-0.04149643,0.24145597,-0.30129996
Okahumpka,FL,US,0.009683832,0.20248406,-0.17654563
Onslow,IA,US,-0.034918662,0.19847365,-0.31558725
Gilbertown,AL,US,-0.10682229,0.24084084,-0.1557971
