city,state,country,dim_1,dim_2,dim_3,dim_4
Chula,MO,US,-0.004373252,-0.027498392,0.010026539,-0.045826845
LittleSturgeon,WI,US,-0.01919564,0.011348799,-0.00580614,-0.025142036
Adair,IL,US,0.0073941182,-0.0328521,0.0071157794,-0.03956813
Hiseville,KY,US,0.044911828,-0.02455233,0.034744978,-0.017050898
Halliday,ND,US,-0.030507782,-0.016267387,0.0074750343,-0.0018380597
VanWert,IA,US,-0.008159586,-0.03139783,0.0038778402,-0.038747605
Kenilworth,UT,US,-0.024773387,-0.008038268,0.0040461286,0.011173552
Edgerton,WY,US,-0.02853507,-0.008972468,0.036465023,0.0076774852
Chupadero,NM,US,-0.041432,-0.0067781764,0.025155379,0.006724509
Storden,MN,US,-0.02253055,-0.017832436,-0.00068768475,-0.021475568
Reevesville,SC,US,0.038202047,0.0026437093,-0.019118356,0.035192847
Spurgeon,IN,US,0.037646342,-0.020459278,0.008894968,-0.032714546
Clutier,IA,US,-0.0068880175,-0.026982808,-0.009847138,-0.027990602
KarnsCity,PA,US,0.016771076,0.045901477,0.02571135,-0.052491497
Smolan,KS,US,-0.012473406,-0.042701464,0.015365489,-0.016898163
Moorhead,IA,US,-0.011472811,-0.027408281,-0.005210475,-0.026793865
Pennington,AL,US,0.035153355,0.0024636614,0.03460561,0.049234103
GoldHill,CO,US,-0.03798287,-0.013781272,0.030770332,-0.0017475988
Belk,AL,US,0.035844024,-0.011202518,0.039686933,0.043275326
Madison,MD,US,0.01869581,0.049978394,-0.018489834,-0.0003551431
Halifax,NC,US,0.042972136,0.030859837,0.004067303,-0.0048970706
Acampo,CA,US,0.010201487,0.0018700646,-0.15050559,0.024911096
BelleMead,NJ,US,0.012676043,0.10712494,-0.020764714,-0.0009065677
Canadian,OK,US,-0.010780629,-0.044879105,0.053803608,-0.00035040826
Froid,MT,US,-0.02492454,-0.021323362,-0.0015136773,-0.0056830845
Buncombe,IL,US,0.030339615,-0.02705464,0.02575733,-0.021643756
Frederika,IA,US,-0.011359314,-0.021824017,-0.015389454,-0.027348304
Cameron,LA,US,0.0072937696,0.0015387568,0.037587035,0.05269079
Black,AL,US,0.03312519,0.012986732,0.0022230353,0.055938642
Standard,IL,US,0.012194018,-0.02672066,-0.01578015,-0.036944233
Goree,TX,US,-0.02914723,-0.042507425,0.050295718,0.009693483
HayesCenter,NE,US,-0.036615558,-0.028102918,0.024118299,-0.009736967
Tuscumbia,MO,US,-0.0024049317,-0.038256463,0.052286133,-0.028550223
Wellman,TX,US,-0.038891494,-0.025112258,0.036578685,0.0046108295
BigIsland,VA,US,0.036523394,0.036410432,0.0504773,-0.030243054
Lunenburg,VA,US,0.041674327,0.035632346,0.027033444,-0.01410103
YeehawJunction,FL,US,0.014172156,0.024036605,0.0051930896,0.04017989
CollegeSprings,IA,US,-0.012616947,-0.034771424,0.0007697602,-0.03705483
Brinson,GA,US,0.031164736,0.009728484,-0.014266744,0.058214277
FallingSpring,WV,US,0.024891095,0.016753225,0.03892132,-0.021379668
Gary,MN,US,-0.021081654,-0.013500492,-0.00949739,-0.011181561
Vermilion,IL,US,0.026460798,-0.024159938,0.008779913,-0.04145239
GuideRock,NE,US,-0.024253473,-0.037536286,0.013454045,-0.014330644
Nauvoo,AL,US,0.04134593,-0.0038847257,0.029814042,0.04538052
